,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,github_release_downloads,monthly_downloads,maven_id,maven_url,dependent_project_count,github_dependent_project_count,new_addition,trending,labels
10,ammonite,com-lihaoyi/ammonite,toolkits,https://github.com/com-lihaoyi/Ammonite,https://github.com/com-lihaoyi/Ammonite,,2015-01-13 07:34:38,2023-04-06 14:34:55,2023-03-30 15:02:13,2690.0,17.0,352.0,64.0,545.0,112.0,672.0,2561.0,2023-02-08 15:19:33,2.5.8,100.0,Scala Scripting.,132.0,25,False,1.0,815537.0,10591.0,,,,,True,,
11,elastic4s,sksamuel/elastic4s,db-clients,https://github.com/sksamuel/elastic4s,https://github.com/sksamuel/elastic4s,Apache-2.0,2013-06-10 20:23:57,2023-03-30 23:32:53,2023-03-26 00:15:33,4686.0,24.0,673.0,76.0,1713.0,12.0,1116.0,1622.0,2023-03-25 01:01:44,8.5.4,31.0,"Elasticsearch Scala Client - Reactive, Non Blocking, Type Safe, HTTP Client.",394.0,25,True,1.0,,,com.sksamuel.elastic4s:elastic4s_2.13,https://search.maven.org/artifact/com.sksamuel.elastic4s/elastic4s_2.13,,,,,
12,circe,circe/circe,json,https://github.com/circe/circe,https://github.com/circe/circe,Apache-2.0,2015-07-31 15:12:09,2023-04-05 21:30:35,2023-04-05 21:30:35,2952.0,34.0,511.0,66.0,1605.0,161.0,353.0,2383.0,2023-03-03 15:49:47,0.14.5,68.0,Yet another JSON library for Scala.,261.0,24,True,1.0,,,io.circe:circe-core_2.13,https://search.maven.org/artifact/io.circe/circe-core_2.13,,,,,
13,doobie,tpolecat/doobie,db-clients,https://github.com/tpolecat/doobie,https://github.com/tpolecat/doobie,MIT,2013-11-25 07:25:20,2023-04-03 09:20:17,2023-04-03 09:20:17,3218.0,68.0,330.0,68.0,1325.0,139.0,369.0,2043.0,2022-01-31 22:59:44,1.0.0-RC2,16.0,Functional JDBC layer for Scala.,159.0,24,True,1.0,,,,,,,,,
14,sangria,sangria-graphql/sangria,misc,https://github.com/sangria-graphql/sangria,https://github.com/sangria-graphql/sangria,Apache-2.0,2015-07-05 21:29:30,2023-04-03 07:22:55,2023-03-31 18:05:32,1932.0,97.0,206.0,61.0,540.0,47.0,401.0,1934.0,2023-03-09 16:07:42,3.5.3,77.0,Scala GraphQL implementation.,62.0,24,True,1.0,,,,,,,,,
15,finatra,twitter/finatra,web-frameworks,https://github.com/twitter/finatra,https://github.com/twitter/finatra,Apache-2.0,2012-02-16 23:55:29,2023-04-03 18:12:01,2023-04-03 18:12:00,2644.0,9.0,401.0,216.0,264.0,11.0,309.0,2245.0,2022-12-26 14:40:15,finatra-22.12.0,92.0,"Fast, testable, Scala services built on TwitterServer and Finagle.",251.0,23,True,1.0,,,,,,,,,
16,Monocle,optics-dev/monocle,toolkits,https://github.com/optics-dev/Monocle,https://github.com/optics-dev/Monocle,MIT,2014-01-17 19:49:22,2023-03-30 21:24:36,2023-03-30 21:07:22,2102.0,14.0,195.0,51.0,970.0,44.0,329.0,1573.0,2023-01-03 14:12:47,3.2.0,9.0,Optics library for Scala.,124.0,23,True,1.0,,,,,,,,,
17,sbt-native-packager,sbt/sbt-native-packager,sbt,https://github.com/sbt/sbt-native-packager,https://github.com/sbt/sbt-native-packager,BSD-2-Clause,2011-12-20 02:04:49,2023-04-06 16:15:13,2023-02-19 16:51:47,1691.0,6.0,425.0,58.0,747.0,129.0,645.0,1559.0,2023-02-20 17:55:37,1.9.16,100.0,sbt Native Packager.,267.0,23,True,1.0,,,,,,,,,
18,akka-http,akka/akka-http,http,https://github.com/akka/akka-http,https://github.com/akka/akka-http,,2016-08-19 11:33:36,2023-03-13 07:57:51,2023-03-13 07:57:50,4359.0,19.0,590.0,79.0,2319.0,561.0,1358.0,1318.0,2023-02-21 15:49:57,10.5.0,55.0,The Streaming-first HTTP server/module of Akka.,350.0,23,False,2.0,,,,,,,,,
19,scalameta,scalameta/scalameta,toolkits,https://github.com/scalameta/scalameta,https://github.com/scalameta/scalameta,BSD-3-Clause,2014-06-16 23:00:32,2023-04-06 16:09:54,2023-03-30 15:00:59,7658.0,85.0,207.0,43.0,1965.0,140.0,996.0,1027.0,2023-03-16 17:37:22,4.7.6,100.0,"Library to read, analyze, transform and generate Scala programs.",108.0,23,True,1.0,,,,,,,,,
