,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,updated_github_id,trending
75,summingbird,twitter/summingbird,bigdata,https://github.com/twitter/summingbird,https://github.com/twitter/summingbird,Apache-2.0,2012-09-25 22:38:35,2022-01-19 17:31:02,2022-01-19 17:31:02,1793.0,,267.0,288.0,494.0,163.0,134.0,2137,2016-06-23 21:16:10,0.11.0-RC1,,,24.0,Streaming MapReduce with Scalding and Storm.,,,45.0,20,False,3,,,,,,,
76,sbt-assembly,sbt/sbt-assembly,sbt,https://github.com/sbt/sbt-assembly,https://github.com/sbt/sbt-assembly,MIT,2011-06-10 05:30:27,2025-03-13 04:04:41,2025-03-13 04:04:41,684.0,2.0,224.0,49.0,191.0,110.0,258.0,1955,2025-01-20 01:16:48,2.3.1,,,23.0,Deploy ber-JARs. Restart processes. (port of codahale/assembly-sbt).,,,85.0,20,True,1,,,,,,,
77,monix,monix/monix,reactive,https://github.com/monix/monix,https://github.com/monix/monix,Apache-2.0,2014-01-06 12:56:07,2024-08-12 23:48:38,2023-10-17 17:17:02,1694.0,,246.0,58.0,1262.0,142.0,577.0,1934,2022-05-07 18:40:42,3.4.1,,,15.0,"Asynchronous, Reactive Programming for Scala and Scala.js.",,,113.0,20,False,1,"['scala3', 'scalajs']",,,,,,
78,Binding.scala,ThoughtWorksInc/Binding.scala,web-frameworks,https://github.com/ThoughtWorksInc/Binding.scala,https://github.com/ThoughtWorksInc/Binding.scala,MIT,2016-01-06 15:28:52,2025-05-25 00:10:15,2025-03-31 01:04:58,1677.0,19.0,108.0,112.0,468.0,38.0,64.0,1585,2023-01-26 04:19:51,12.2.0,,,82.0,Reactive data-binding for Scala.,,,25.0,20,True,2,"['scala3', 'scalajs']",,,,,,
79,pureconfig,pureconfig/pureconfig,others,https://github.com/pureconfig/pureconfig,https://github.com/pureconfig/pureconfig,MPL-2.0,2015-08-29 17:05:50,2025-04-30 18:37:51,2025-04-30 18:37:50,2290.0,28.0,179.0,22.0,1512.0,50.0,262.0,1512,,,,,,A boilerplate-free library for loading configuration files.,,,89.0,20,True,1,['scala3'],,,,,,
80,json4s,json4s/json4s,json,https://github.com/json4s/json4s,https://github.com/json4s/json4s,Apache-2.0,2012-08-23 23:18:46,2025-05-28 06:18:33,2025-05-28 06:18:32,1941.0,21.0,331.0,63.0,1236.0,168.0,262.0,1487,,,,,,JSON library.,,,148.0,20,True,2,"['scala3', 'scalajs']",,,,,,
81,macwire,softwaremill/macwire,di,https://github.com/softwaremill/macwire,https://github.com/softwaremill/macwire,Apache-2.0,2013-03-17 13:20:04,2025-05-25 00:38:09,2025-05-25 00:38:07,864.0,13.0,79.0,56.0,270.0,55.0,73.0,1294,2025-01-27 09:46:19,2.6.6,,,24.0,"Zero-cost, compile-time, type-safe dependency injection library.",,,46.0,20,True,2,"['scala3', 'scalajs']",,,,,,
82,scodec,scodec/scodec,data,https://github.com/scodec/scodec,https://github.com/scodec/scodec,BSD-3-Clause,2013-04-22 13:36:08,2025-05-08 12:09:28,2025-05-08 11:50:20,1517.0,15.0,107.0,29.0,513.0,6.0,71.0,814,2025-05-08 12:09:29,1.11.11,,,9.0,Scala combinator library for working with binary data.,,,63.0,20,True,2,"['scala3', 'scalajs']",,,,,,
83,specs2,etorreborre/specs2,test,https://github.com/etorreborre/specs2,https://github.com/etorreborre/specs2,,2010-09-03 01:55:10,2025-05-29 17:25:38,2025-05-29 17:25:38,4839.0,22.0,216.0,29.0,658.0,3.0,664.0,734,2024-10-15 08:58:26,SPECS2-4.20.9,,,77.0,Software Specifications for Scala.,,,97.0,20,False,2,"['scala3', 'scalajs']",,,,,,
84,sbt-scoverage,scoverage/sbt-scoverage,sbt,https://github.com/scoverage/sbt-scoverage,https://github.com/scoverage/sbt-scoverage,Apache-2.0,2014-05-16 00:58:21,2025-03-20 19:32:27,2025-03-20 19:32:27,826.0,7.0,159.0,28.0,324.0,39.0,232.0,653,2025-02-20 17:17:28,2.3.1,,,47.0,sbt plugin for scoverage.,,,77.0,20,True,1,,,,,,,
85,izumi,7mind/izumi,di,https://github.com/7mind/izumi,https://github.com/7mind/izumi,BSD-2-Clause,2017-11-03 10:39:42,2025-05-29 15:44:56,2025-05-29 15:44:55,4756.0,30.0,68.0,19.0,1762.0,66.0,402.0,623,2025-03-28 19:25:03,1.2.17,,,93.0,Productivity-oriented collection of lightweight fancy stuff for Scala toolchain.,,,33.0,20,True,2,"['scala3', 'scalajs']",,,,,,
86,eff,atnos-org/eff,toolkits,https://github.com/atnos-org/eff,https://github.com/atnos-org/eff,MIT,2016-01-04 22:34:26,2025-05-28 22:37:36,2025-05-28 22:37:35,1394.0,61.0,79.0,19.0,848.0,3.0,65.0,588,2025-04-27 10:55:30,8.0.0,,,78.0,Eff monad for cats - https://atnos-org.github.io/eff.,,,43.0,20,True,2,"['scala3', 'scalajs']",,,,,,
87,twirl,playframework/twirl,templating,https://github.com/playframework/twirl,https://github.com/playframework/twirl,Apache-2.0,2013-09-22 22:48:40,2025-05-25 16:42:53,2025-05-22 17:49:02,1430.0,23.0,111.0,37.0,825.0,36.0,80.0,556,2025-02-23 23:30:08,2.0.8,,,27.0,Twirl is Plays default template engine.,,,56.0,20,True,1,"['scala3', 'scalajs']",,,,,,-1.0
88,scapegoat,scapegoat-scala/scapegoat,development-cycle,https://github.com/scapegoat-scala/scapegoat,https://github.com/scapegoat-scala/scapegoat,Apache-2.0,2013-11-21 17:45:58,2025-05-29 11:57:19,2025-05-29 11:57:19,1462.0,15.0,94.0,19.0,700.0,53.0,210.0,541,2025-05-11 20:47:48,3.1.9,,,37.0,Scala compiler plugin for static code analysis.,,,68.0,20,True,3,,,,,,,
89,scalamock,paulbutcher/scalamock,test,https://github.com/scalamock/scalamock,https://github.com/scalamock/scalamock,MIT,2011-10-24 21:32:02,2025-05-19 08:02:51,2025-05-19 08:02:51,922.0,64.0,102.0,19.0,409.0,2.0,241.0,534,2025-04-30 13:04:37,7.3.2,,,29.0,Native Scala mocking framework.,,,40.0,20,True,2,['scalajs'],,,,,scalamock/scalamock,
90,scribe,outr/scribe,toolkits,https://github.com/outr/scribe,https://github.com/outr/scribe,MIT,2016-01-26 15:49:14,2025-05-25 00:23:18,2025-04-04 15:04:10,1569.0,25.0,44.0,7.0,528.0,17.0,154.0,529,2025-04-04 15:04:35,3.16.1,,,51.0,The fastest logging library in the world. Built from scratch in Scala and programmatically configurable.,,,21.0,20,True,2,"['scala3', 'scalajs']",,,,,,
91,munit,scalameta/munit,test,https://github.com/scalameta/munit,https://github.com/scalameta/munit,Apache-2.0,2020-01-03 00:01:20,2025-05-29 11:44:15,2025-05-29 11:42:13,1246.0,66.0,97.0,13.0,779.0,41.0,130.0,451,2025-04-29 17:21:56,1.1.1,,,52.0,Scala testing library with actionable errors and extensible APIs.,,,61.0,20,True,2,"['scala3', 'scalajs']",,,,,,
