,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,github_release_downloads,monthly_downloads,maven_id,maven_url,trending,dependent_project_count,github_dependent_project_count,updated_github_id,labels
143,laserdisc,laserdisc-io/laserdisc,db-clients,https://github.com/laserdisc-io/laserdisc,https://github.com/laserdisc-io/laserdisc,MIT,2018-06-05 09:07:12,2023-06-18 15:29:03,2023-06-18 15:29:02,643.0,15.0,14.0,5.0,712.0,14.0,11.0,90.0,2022-11-22 23:17:24,0.6.0,21.0,A Future-free Fs2 native pure FP Redis client.,9.0,13,True,3.0,,,,,,,,,
144,sbt-api-mappings,ThoughtWorksInc/sbt-api-mappings,sbt,https://github.com/ThoughtWorksInc/sbt-api-mappings,https://github.com/ThoughtWorksInc/sbt-api-mappings,Apache-2.0,2015-07-10 16:28:55,2023-06-03 05:30:13,2022-05-14 04:46:19,409.0,,16.0,34.0,139.0,,6.0,87.0,2022-03-19 19:01:11,3.0.2,8.0,An Sbt plugin that fills apiMappings for common Scala libraries.,11.0,13,True,3.0,,,,,,,,,
145,enableIf.scala,ThoughtWorksInc/enableIf.scala,toolkits,https://github.com/ThoughtWorksInc/enableIf.scala,https://github.com/ThoughtWorksInc/enableIf.scala,Apache-2.0,2016-04-13 14:26:48,2023-06-03 05:27:01,2023-05-10 04:59:08,349.0,7.0,5.0,28.0,106.0,2.0,5.0,65.0,2022-04-02 07:19:04,1.1.8,3.0,"A library that toggles Scala code at compile-time, like #if in C/C++.",5.0,13,True,3.0,,,,,,,,,
146,spata,fingo/spata,csv-yaml,https://github.com/fingo/spata,https://github.com/fingo/spata,Apache-2.0,2020-05-29 22:01:35,2023-06-09 15:45:36,2023-06-09 15:45:27,442.0,42.0,5.0,3.0,24.0,,3.0,19.0,2023-06-01 15:39:17,3.1.0,10.0,"Functional, stream-based CSV processor for Scala.",3.0,13,True,2.0,,,,,,,,,
147,better-monadic-for,oleg-py/better-monadic-for,sbt,https://github.com/oleg-py/better-monadic-for,https://github.com/oleg-py/better-monadic-for,MIT,2018-03-29 19:47:54,2021-12-31 00:10:05,2021-05-25 08:10:05,80.0,,31.0,21.0,18.0,9.0,26.0,683.0,,,1.0,Desugaring scala `for` without implicit `withFilter`s.,10.0,12,False,3.0,,,,,,,,,
148,casbah,mongodb/casbah,db-clients,https://github.com/mongodb/casbah,https://github.com/mongodb/casbah,,2010-10-29 18:39:30,2022-01-20 16:56:00,2022-01-20 16:55:58,1108.0,,126.0,60.0,64.0,,,515.0,,,,Casbah is now officially end-of-life (EOL).,36.0,12,False,3.0,,,,,,,,,
149,scalameter,scalameter/scalameter,test,https://github.com/scalameter/scalameter,https://github.com/scalameter/scalameter,,2012-11-18 20:56:32,2022-08-22 09:03:55,2022-08-22 09:03:55,798.0,,67.0,29.0,130.0,47.0,65.0,502.0,,,,Microbenchmarking and performance regression testing framework for the JVM platform.,48.0,12,False,3.0,,,,,,,,,
150,salat,salat/salat,db-clients,https://github.com/salat/salat,https://github.com/salat/salat,,2011-01-12 16:54:23,2019-03-03 13:32:54,2019-03-03 13:32:53,877.0,,102.0,55.0,82.0,31.0,97.0,485.0,,,,Salat is a simple serialization library for case classes.,43.0,12,False,3.0,,,,,,,,,
151,reactive,nafg/reactive,web-frameworks,https://github.com/nafg/reactive,https://github.com/nafg/reactive,,2010-05-27 23:21:42,2023-06-08 22:28:32,2021-02-28 04:06:13,1147.0,,37.0,18.0,138.0,26.0,53.0,215.0,,,,A simple FRP library and a web UI framework built on it.,11.0,12,False,3.0,,,,,,,,,
152,squid,epfldata/squid,toolkits,https://github.com/epfldata/squid,https://github.com/epfldata/squid,Apache-2.0,2016-03-08 21:53:00,2020-11-23 16:20:35,2020-11-23 16:20:07,583.0,,13.0,16.0,18.0,16.0,33.0,198.0,,,4.0,Squid type-safe metaprogramming and compilation framework for Scala.,6.0,12,False,3.0,,,,,,,,,
153,sbt-pgp,sbt/sbt-pgp,sbt,https://github.com/sbt/sbt-pgp,https://github.com/sbt/sbt-pgp,,2011-09-08 15:58:10,2022-12-06 03:24:26,2022-12-06 03:24:26,333.0,,52.0,7.0,86.0,18.0,97.0,140.0,2022-12-06 03:46:29,2.2.1,15.0,PGP plugin for sbt.,33.0,12,False,3.0,,,,,,,,,
154,sbt-ide-settings,Jetbrains/sbt-ide-settings,sbt,https://github.com/JetBrains/sbt-ide-settings,https://github.com/JetBrains/sbt-ide-settings,Apache-2.0,2015-02-13 12:06:38,2021-03-25 14:43:10,2021-03-25 14:42:24,33.0,,7.0,22.0,2.0,8.0,5.0,56.0,2023-02-06 17:13:32,1.1.1,4.0,SBT plugin for tweaking various IDE settings.,6.0,12,False,3.0,,,,,,,,,
155,scalive,xitrum-framework/scalive,test,https://github.com/xitrum-framework/scalive,https://github.com/xitrum-framework/scalive,MIT,2014-01-28 08:11:24,2019-01-30 13:34:32,2019-01-30 13:34:25,125.0,,12.0,17.0,3.0,7.0,12.0,198.0,2019-01-30 13:24:43,1.7.0,8.0,Connect a Scala REPL to running JVM processes without any prior setup.,4.0,11,False,3.0,608.0,5.0,,,,,,,
156,scala-forklift,lastland/scala-forklift,db-clients,https://github.com/lastland/scala-forklift,https://github.com/lastland/scala-forklift,,2015-08-18 16:26:21,2022-09-06 13:51:34,2020-04-24 19:30:57,274.0,,29.0,11.0,21.0,13.0,19.0,189.0,2016-08-10 07:04:47,0.2.3,3.0,"Type-safe data migration tool for Slick, Git and beyond.",10.0,11,False,3.0,,,,,,,,,
157,scala-records,scala-records/scala-records,toolkits,https://github.com/scala-records/scala-records,https://github.com/scala-records/scala-records,BSD-3-Clause,2014-06-17 09:59:57,2019-06-10 22:59:35,2019-06-10 22:59:34,224.0,,12.0,19.0,77.0,19.0,46.0,160.0,,,,Labeled records for Scala based on structural refinement types and macros.,11.0,11,False,3.0,,,,,,,,,
158,fintrospect,daviddenton/fintrospect,http,https://github.com/daviddenton/fintrospect,https://github.com/daviddenton/fintrospect,Apache-2.0,2015-03-01 20:31:11,2020-08-26 11:42:43,2020-08-26 11:42:38,1752.0,,8.0,7.0,23.0,3.0,26.0,93.0,,,,"Implement fast, type-safe HTTP webservices for Finagle.",5.0,11,False,3.0,,,,,,,,,
159,lolhttp,criteo/lolhttp,http,https://github.com/criteo/lolhttp,https://github.com/criteo/lolhttp,Apache-2.0,2017-04-28 07:06:53,2023-06-10 14:57:53,2021-10-22 14:33:41,122.0,,17.0,18.0,188.0,,8.0,93.0,2021-10-22 14:35:21,0.13.4,29.0,An HTTP Server and Client library for Scala.,19.0,11,False,3.0,,,,,,,,,
160,couchdb-scala,beloglazov/couchdb-scala,db-clients,https://github.com/beloglazov/couchdb-scala,https://github.com/beloglazov/couchdb-scala,Apache-2.0,2015-01-15 23:10:06,2018-11-13 12:48:24,2017-08-05 07:34:18,236.0,,18.0,6.0,33.0,18.0,31.0,65.0,2016-05-08 00:58:39,0.7.2,7.0,A purely functional Scala client for CouchDB.,2.0,11,False,3.0,,,,,,,,,
161,sbt-scala-js-map,ThoughtWorksInc/sbt-scala-js-map,sbt,https://github.com/ThoughtWorksInc/sbt-scala-js-map,https://github.com/ThoughtWorksInc/sbt-scala-js-map,Apache-2.0,2016-04-12 18:38:07,2023-06-12 21:54:03,2023-05-10 04:57:32,385.0,7.0,3.0,12.0,166.0,2.0,2.0,35.0,2021-11-22 07:29:41,4.1.1,3.0,A Sbt plugin that configures source mapping for Scala.js projects hosted on Github.,3.0,11,True,3.0,,,,,,,,,
162,ninny-json,nrktkt/ninny-json,json,https://github.com/nrktkt/ninny-json,https://github.com/nrktkt/ninny-json,Unlicense,2020-07-10 17:01:21,2023-06-21 22:02:37,2023-06-15 22:28:45,97.0,4.0,5.0,2.0,48.0,5.0,4.0,21.0,2023-06-21 22:02:37,0.8.0,26.0,JSON typeclasses that know the difference between null and absent fields.,3.0,11,True,3.0,,,,,,,,,
163,scountries,lambdaworks/scountries,misc,https://github.com/lambdaworks/scountries,https://github.com/lambdaworks/scountries,Apache-2.0,2022-09-02 11:48:45,2023-06-12 16:31:23,2023-06-10 18:01:15,50.0,18.0,1.0,8.0,39.0,,,19.0,2023-04-24 16:24:47,1.0.0,2.0,"Scala library that provides an enumeration of ISO 3166 codes for countries, along with their subdivisions.",5.0,11,True,3.0,,,io.lambdaworks:scountries,https://search.maven.org/artifact/io.lambdaworks/scountries,,,,,
164,scurl-detector,lambdaworks/scurl-detector,misc,https://github.com/lambdaworks/scurl-detector,https://github.com/lambdaworks/scurl-detector,Apache-2.0,2021-06-08 09:33:41,2023-06-16 16:44:11,2023-06-16 16:41:52,98.0,27.0,1.0,8.0,89.0,1.0,9.0,17.0,2023-04-24 16:27:11,1.1.0,2.0,Scala library that detects and extracts URLs from text.,6.0,11,True,3.0,,,io.lambdaworks:scurl-detector_2.13,https://search.maven.org/artifact/io.lambdaworks/scurl-detector_2.13,,,,,
165,subcut,dickwall/subcut,di,https://github.com/dickwall/subcut,https://github.com/dickwall/subcut,,2011-05-30 23:58:27,2020-10-12 22:18:41,2018-05-17 21:40:26,92.0,,27.0,25.0,17.0,4.0,21.0,388.0,,,,Scala Uniquely Bound Classes Under Traits.,11.0,10,False,3.0,,,,,,,,,
166,scalacollider,sciss/scalacollider,media,https://github.com/Sciss/ScalaCollider,https://github.com/Sciss/ScalaCollider,AGPL-3.0,2009-12-10 16:39:10,2021-11-18 09:19:03,2021-10-24 16:33:52,581.0,,16.0,15.0,5.0,9.0,83.0,204.0,,,,A Scala sound synthesis library based on SuperCollider.,,10,False,2.0,,,,,,,,,
167,log4s,Log4s/log4s,toolkits,https://github.com/Log4s/log4s,https://github.com/Log4s/log4s,,2013-04-28 07:57:48,2022-07-08 02:08:50,2022-07-08 02:08:50,378.0,,22.0,9.0,62.0,7.0,21.0,172.0,,,,High-performance SLF4J wrapper for Scala.,14.0,10,False,3.0,,,,,,,,,
168,sbt-groll,sbt/sbt-groll,sbt,https://github.com/sbt/sbt-groll,https://github.com/sbt/sbt-groll,Apache-2.0,2012-10-21 20:43:30,2021-12-17 12:41:12,2021-12-17 12:40:44,126.0,,8.0,8.0,23.0,1.0,4.0,134.0,2021-12-17 12:41:14,7.1.0,3.0,sbt plugin to roll the Git history.,8.0,10,True,3.0,,,,,,,,,
169,ScalaJack,gzoller/ScalaJack,json,https://github.com/gzoller/ScalaJack,https://github.com/gzoller/ScalaJack,MIT,2013-06-17 20:20:56,2022-11-15 00:51:10,2022-11-15 00:50:56,923.0,,8.0,12.0,182.0,2.0,49.0,110.0,,,,Fast JSON parser/generator for Scala.,13.0,10,True,3.0,,,,,,,,,
170,longevity,longevityframework/longevity,db-clients,https://github.com/longevityframework/longevity,https://github.com/longevityframework/longevity,,2014-12-17 02:50:13,2018-07-06 02:43:27,2018-07-06 02:43:18,1216.0,,5.0,12.0,8.0,36.0,4.0,103.0,2018-07-01 17:41:25,0.27.0,35.0,A Persistence Framework for Scala and NoSQL.,3.0,10,False,3.0,,,,,,,,,
171,moultingyaml,jcazevedo/moultingyaml,csv-yaml,https://github.com/jcazevedo/moultingyaml,https://github.com/jcazevedo/moultingyaml,MIT,2015-07-02 21:27:23,2022-09-13 21:31:10,2020-03-30 12:05:00,171.0,,33.0,5.0,28.0,16.0,8.0,98.0,,,,Scala wrapper for SnakeYAML.,13.0,10,False,3.0,,,,,,,,,
172,blindsight,tersesystems/blindsight,toolkits,https://github.com/tersesystems/blindsight,https://github.com/tersesystems/blindsight,,2020-03-16 03:06:57,2023-06-14 21:32:49,2023-03-27 03:59:31,393.0,1.0,6.0,5.0,425.0,11.0,26.0,80.0,2023-03-12 22:32:23,2.0.0,1.0,"Blindsight is a Scala logging API with DSL based structured logging, fluent logging, semantic logging, flow logging,..",3.0,10,False,3.0,,,,,,,,,
173,pushka,fomkin/pushka,json,https://github.com/fomkin/pushka,https://github.com/fomkin/pushka,Apache-2.0,2015-08-19 06:24:31,2019-06-12 09:24:40,2016-11-24 20:47:45,88.0,,9.0,7.0,26.0,9.0,25.0,74.0,,,14.0,ABANDONED Pure Scala serialization library with annotations.,5.0,10,False,3.0,,,,,,,,,
174,media4s,outr/media4s,media,https://github.com/outr/media4s,https://github.com/outr/media4s,MIT,2016-09-28 20:04:06,2023-06-18 00:36:36,2023-06-18 00:36:24,55.0,1.0,4.0,5.0,4.0,,3.0,29.0,2023-02-13 02:15:20,1.0.18,1.0,"Scala command-line wrapper around ffmpeg, ffprobe, ImageMagick, and other tools relating to media.",3.0,10,True,2.0,,,,,,,,,
175,roshttp,hmil/roshttp,http,https://github.com/hmil/RosHTTP,https://github.com/hmil/RosHTTP,MIT,2016-02-26 12:29:57,2021-06-06 09:38:29,2021-06-06 09:38:29,135.0,,20.0,5.0,49.0,18.0,28.0,125.0,,,,Unified Scala.js + Scala HTTP client API.,13.0,9,False,3.0,,,,,,,,,
176,scala-jsonapi,scala-jsonapi/scala-jsonapi,json,https://github.com/scala-jsonapi/scala-jsonapi,https://github.com/scala-jsonapi/scala-jsonapi,,2015-11-09 12:47:14,2018-12-28 12:29:57,2018-06-11 08:54:13,135.0,,24.0,29.0,52.0,13.0,34.0,108.0,,,,"Scala support library for integrating the JSON API spec with Spray, Play! or Circe.",20.0,9,False,3.0,,,,,,,,,
177,sbt-ghpages,sbt/sbt-ghpages,sbt,https://github.com/sbt/sbt-ghpages,https://github.com/sbt/sbt-ghpages,,2012-05-16 15:21:19,2023-06-12 07:30:57,2023-06-12 07:30:55,159.0,9.0,18.0,9.0,78.0,17.0,13.0,94.0,2022-12-06 06:47:04,0.7.0,1.0,"git, site and ghpages support for sbt projects.",20.0,9,False,3.0,,,,,,,,,
178,sbt-javacv,bytedeco/sbt-javacv,media,https://github.com/bytedeco/sbt-javacv,https://github.com/bytedeco/sbt-javacv,MIT,2016-03-20 10:10:42,2018-12-22 14:05:22,2018-12-22 14:05:25,55.0,,14.0,8.0,13.0,1.0,6.0,91.0,2018-12-22 14:00:40,1.17,13.0,"Start using OpenCV in your JVM project in just 1 line, no separate compiling, installing OpenCV, or fussing with your..",4.0,9,False,3.0,,,,,,,,,
179,molecule,scalamolecule/molecule,db-clients,https://github.com/scalamolecule/molecule,https://github.com/scalamolecule/molecule,,2014-07-01 23:57:41,2022-05-02 13:01:22,2022-05-02 12:59:42,721.0,,3.0,6.0,,,23.0,68.0,2022-01-15 15:51:59,1.1.0,56.0,Non-blocking asynchronous domain-customizable database query language for Scala and Scala.js against the Datomic..,,9,False,3.0,5.0,0.0,,,,,,,
180,jam,yakivy/jam,di,https://github.com/yakivy/jam,https://github.com/yakivy/jam,MIT,2021-02-12 09:59:54,2023-06-18 19:36:27,2023-06-18 19:36:01,46.0,6.0,3.0,3.0,2.0,,8.0,59.0,,,,Incredibly simple DI Scala library.,4.0,9,True,3.0,,,,,,,,,
181,lucene4s,outr/lucene4s,db-clients,https://github.com/outr/lucene4s,https://github.com/outr/lucene4s,MIT,2016-10-11 18:40:58,2021-07-18 01:06:33,2021-05-17 19:36:10,153.0,,18.0,7.0,16.0,2.0,7.0,53.0,,,,Light-weight convenience wrapper around Lucene to simplify complex tasks and add Scala sugar.,5.0,9,False,3.0,,,,,,,,,
182,ReactiveCouchbase-rs-core,ReactiveCouchbase/ReactiveCouchbase-rs-core,db-clients,https://github.com/ReactiveCouchbase/reactivecouchbase-rs-core,https://github.com/ReactiveCouchbase/reactivecouchbase-rs-core,Apache-2.0,2017-02-08 08:16:45,2018-04-23 09:37:17,2018-04-23 09:35:53,131.0,,10.0,7.0,13.0,7.0,11.0,27.0,2017-09-29 15:00:23,1.0.0,1.0,New ReactiveCouchbase driver using reactive-streams.,8.0,9,False,3.0,,,,,,,,,
183,sbt-deploy-ssh,shmishleniy/sbt-deploy-ssh,sbt,https://github.com/shmishleniy/sbt-deploy-ssh,https://github.com/shmishleniy/sbt-deploy-ssh,MIT,2015-01-16 12:38:45,2021-04-28 13:50:29,2021-04-28 13:46:46,41.0,,2.0,5.0,4.0,1.0,11.0,27.0,2021-04-28 13:50:29,0.1.5,5.0,SBT deploy plugin.,6.0,9,False,3.0,,,,,,,,,
184,akka-persistence-gcp-datastore,innFactory/akka-persistence-gcp-datastore,db-clients,https://github.com/innFactory/akka-persistence-gcp-datastore,https://github.com/innFactory/akka-persistence-gcp-datastore,Apache-2.0,2019-11-29 19:52:00,2023-06-16 00:18:33,2022-03-15 00:18:23,292.0,,3.0,4.0,182.0,1.0,,20.0,,,,akka-persistence-gcp-datastore is a journal and snapshot store plugin for akka-persistence using google cloud..,4.0,9,True,3.0,,,,,,,,,
