,name,github_id,maven_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,maven_url,maven_latest_release_published_at,dependent_project_count,maven_dependent_project_count,show,projectrank_placing,trending,github_dependent_project_count,labels,github_release_downloads,monthly_downloads
27,scalatra,scalatra/scalatra,,web-frameworks,https://github.com/scalatra/scalatra,https://github.com/scalatra/scalatra,,2009-05-31 09:20:32,2023-03-25 05:45:54,2023-03-18 03:36:38,3907,25.0,331,84,1073.0,68.0,367.0,2587,,,,"Tiny Scala high-performance, async web framework, inspired by Sinatra.",134,18,,,,,False,3,,,,,
28,quill,zio/zio-quill,,db-clients,https://github.com/zio/zio-quill,https://github.com/zio/zio-quill,Apache-2.0,2015-07-20 22:15:04,2023-03-24 15:35:00,2023-01-22 17:15:20,3340,2.0,335,69,1706.0,368.0,705.0,2109,,,,Compile-time Language Integrated Queries for Scala.,134,18,,,,,True,2,,,['zio'],,
29,korolev,fomkin/korolev,,web-frameworks,https://github.com/fomkin/korolev,https://github.com/fomkin/korolev,Apache-2.0,2016-08-10 16:19:56,2023-01-23 17:30:58,2023-01-23 08:26:20,663,3.0,50,21,219.0,12.0,222.0,576,2022-08-16 08:04:00,1.5.0,35.0,Single Page Applications running on the server side.,25,18,,,,,True,3,,,,,
30,jackson-module-scala,FasterXML/jackson-module-scala,,json,https://github.com/FasterXML/jackson-module-scala,https://github.com/FasterXML/jackson-module-scala,Apache-2.0,2010-11-29 23:01:08,2023-03-29 08:00:14,2023-03-29 07:46:16,1641,30.0,139,27,180.0,46.0,401.0,484,,,1.0,Add-on module for Jackson (https://github.com/FasterXML/jackson) to support Scala-specific datatypes.,58,18,,,,,True,3,,,,,
31,diffson,gnieh/diffson,,json,https://github.com/gnieh/diffson,https://github.com/gnieh/diffson,Apache-2.0,2013-08-30 15:50:35,2023-03-30 17:08:25,2023-03-26 17:41:47,463,41.0,52,12,291.0,10.0,43.0,295,2023-03-03 08:34:40,4.4.0,14.0,A scala diff/patch library for Json.,31,18,,,,,True,3,,,,,
32,pulsar4s,CleverCloud/pulsar4s,,db-clients,https://github.com/CleverCloud/pulsar4s,https://github.com/CleverCloud/pulsar4s,Apache-2.0,2018-01-04 06:29:12,2023-03-18 20:06:09,2023-01-08 02:27:21,711,11.0,42,12,449.0,21.0,40.0,215,2023-01-08 02:29:27,2.9.0,5.0,"Idiomatic, typesafe, and reactive Scala client for Apache Pulsar.",23,18,,,,,True,2,,,,,
33,zio-redis,zio/zio-redis,,db-clients,https://github.com/zio/zio-redis,https://github.com/zio/zio-redis,Apache-2.0,2020-01-07 16:12:24,2023-03-29 13:19:11,2023-03-29 13:19:10,519,60.0,54,15,678.0,21.0,98.0,95,2023-03-28 12:22:41,0.2.0,2.0,A ZIO-based redis client.,34,18,,,,,True,2,1.0,,['zio'],,
34,unfiltered,unfiltered/unfiltered,,web-frameworks,https://github.com/unfiltered/unfiltered,https://github.com/unfiltered/unfiltered,MIT,2010-05-19 04:00:57,2023-03-29 22:04:42,2023-03-14 22:02:58,2799,18.0,112,26,820.0,47.0,146.0,708,,,,A toolkit for servicing HTTP requests in Scala.,87,17,,,,,True,3,,,,,
35,squeryl,squeryl/squeryl,,db-clients,https://github.com/squeryl/squeryl,https://github.com/squeryl/squeryl,Apache-2.0,2010-01-30 16:07:07,2023-03-28 18:07:38,2023-03-27 22:50:11,1056,57.0,144,29,301.0,39.0,112.0,578,,,,A Scala DSL for talking with databases with minimum verbosity and maximum type safety.,60,17,,,,,True,2,,,,,
36,xitrum,xitrum-framework/xitrum,,web-frameworks,https://github.com/xitrum-framework/xitrum,https://github.com/xitrum-framework/xitrum,MIT,2010-07-19 22:58:50,2023-02-28 06:06:49,2023-02-28 06:06:46,2082,3.0,52,38,36.0,56.0,600.0,448,,,,Async and clustered Scala web framework and HTTP(S) server.,31,17,,,,,True,3,,,,,
37,anorm,playframework/anorm,,db-clients,https://github.com/playframework/anorm,https://github.com/playframework/anorm,Apache-2.0,2014-12-05 03:05:14,2023-03-24 18:03:21,2023-03-18 21:35:07,694,15.0,67,17,476.0,6.0,59.0,226,2022-09-29 14:17:35,2.7.0,3.0,The Anorm database library.,54,17,,,,,True,2,,,['play'],,
38,neotypes,neotypes/neotypes,,db-clients,https://github.com/neotypes/neotypes,https://github.com/neotypes/neotypes,MIT,2018-11-11 19:33:08,2023-03-22 18:39:02,2023-03-22 18:39:02,952,33.0,31,6,555.0,17.0,45.0,152,2023-01-24 18:43:27,0.23.2,13.0,"Scala lightweight, type-safe, asynchronous driver for neo4j.",14,17,,,,,True,2,,,,,
39,couchbase-jvm-clients,couchbase/couchbase-jvm-clients,,db-clients,https://github.com/couchbase/couchbase-jvm-clients,https://github.com/couchbase/couchbase-jvm-clients,Apache-2.0,2018-10-01 16:44:58,2023-03-30 18:18:29,2023-03-30 18:18:28,2297,165.0,32,10,22.0,4.0,,36,,,,"The Couchbase Monorepo for JVM Clients: Java, Scala, io-core.",18,17,,,138.0,,True,2,,138.0,,,
40,rediscala,etaty/rediscala,,db-clients,https://github.com/etaty/rediscala,https://github.com/etaty/rediscala,Apache-2.0,2013-04-15 13:49:16,2021-06-06 04:14:22,2019-10-17 08:36:11,414,,134,39,98.0,74.0,83.0,796,2019-06-23 15:29:14,1.9.0,13.0,"Non-blocking, Reactive Redis driver for Scala (with Sentinel support).",31,16,,,,,False,2,,,,,
41,cask,com-lihaoyi/cask,,web-frameworks,https://github.com/com-lihaoyi/cask,https://github.com/com-lihaoyi/cask,,2018-07-20 00:48:20,2023-03-16 14:53:39,2023-03-16 14:53:34,291,6.0,46,11,44.0,10.0,34.0,439,2023-03-16 12:25:29,0.9.0,76.0,Cask: a Scala HTTP micro-framework.,14,16,,,,,False,3,,,,18362.0,333.0
42,youi,outr/youi,,web-frameworks,https://github.com/outr/youi,https://github.com/outr/youi,MIT,2012-06-26 14:06:32,2023-03-12 00:39:50,2022-12-07 15:24:18,2690,,29,17,245.0,22.0,41.0,206,2019-01-30 18:17:20,0.9.0,12.0,"Next generation user interface and application development in Scala and Scala.js for web, mobile, and desktop.",11,16,,,,,True,3,,,,,
43,scala-redis,debasishg/scala-redis,,db-clients,https://github.com/debasishg/scala-redis,https://github.com/debasishg/scala-redis,,2009-12-31 06:31:15,2023-01-25 21:39:14,2021-12-19 15:12:11,485,,222,61,150.0,76.0,82.0,1022,2021-11-02 15:19:32,3.42,11.0,"A scala library for connecting to a redis server, or a cluster of redis nodes using consistent hashing on the client..",72,15,,,,,False,3,,,,,
44,scala-activerecord,aselab/scala-activerecord,,db-clients,https://github.com/aselab/scala-activerecord,https://github.com/aselab/scala-activerecord,MIT,2012-04-10 04:26:31,2021-01-08 00:05:38,2021-01-08 00:05:30,513,,31,35,12.0,20.0,62.0,321,2020-10-07 00:17:01,0.6.1,8.0,ActiveRecord-like ORM library for Scala.,9,15,,,,,False,3,,,,,
45,casbah,mongodb/casbah,,db-clients,https://github.com/mongodb/casbah,https://github.com/mongodb/casbah,,2010-10-29 18:39:30,2022-01-20 16:56:00,2022-01-20 16:55:58,1108,,133,59,64.0,7.0,,526,,,,Casbah is now officially end-of-life (EOL).,36,14,,,,,False,3,,,,,
46,chaos,mesosphere/chaos,,web-frameworks,https://github.com/mesosphere/chaos,https://github.com/mesosphere/chaos,Apache-2.0,2013-06-25 14:53:40,2019-04-15 12:17:35,2019-04-15 12:17:21,224,,36,153,52.0,13.0,15.0,250,2017-04-05 09:50:47,0.8.8,1.0,A lightweight framework for writing REST services in Scala.,20,14,,,,,False,3,,,,,
47,laserdisc,laserdisc-io/laserdisc,,db-clients,https://github.com/laserdisc-io/laserdisc,https://github.com/laserdisc-io/laserdisc,MIT,2018-06-05 09:07:12,2023-03-22 16:55:48,2023-03-22 16:55:48,628,20.0,14,5,694.0,13.0,11.0,90,2022-11-22 23:17:24,0.6.0,21.0,A Future-free Fs2 native pure FP Redis client.,11,14,,,,,True,3,,,,,
48,finagle-postgres,finagle/finagle-postgres,,db-clients,https://github.com/finagle/finagle-postgres,https://github.com/finagle/finagle-postgres,Apache-2.0,2015-03-10 16:01:08,2023-03-10 15:27:30,2021-06-02 20:15:58,486,,40,10,270.0,15.0,25.0,81,2021-04-23 22:46:03,0.13,16.0,PostgreSQL protocol support for Finagle.,33,14,,,,,False,3,,,,,
49,relate,lucidsoftware/relate,,db-clients,https://github.com/lucidsoftware/relate,https://github.com/lucidsoftware/relate,Apache-2.0,2014-05-19 19:18:32,2022-02-28 19:41:12,2022-02-28 19:41:12,282,,15,44,54.0,12.0,12.0,163,2020-07-22 20:01:31,3.0.0,12.0,Performant database access in Scala.,17,13,,,,,True,3,,,,1294.0,13.0
