,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,maven_id,labels,maven_url,maven_latest_release_published_at,maven_dependent_project_count,updated_github_id
123,jawn,typelevel/jawn,json,https://github.com/typelevel/jawn,https://github.com/typelevel/jawn,,2012-10-01 02:04:45,2024-09-04 17:04:15,2024-09-04 17:04:15,1377.0,17.0,73.0,22.0,575.0,13.0,56.0,433,2024-05-29 20:49:23,1.6.0,,,23.0,Jawn is for parsing jay-sawn (JSON).,,,53.0,18,False,2,,,"['scala3', 'scalajs']",,,,
124,munit,scalameta/munit,test,https://github.com/scalameta/munit,https://github.com/scalameta/munit,Apache-2.0,2020-01-03 00:01:20,2024-09-02 10:45:54,2024-09-02 09:35:21,1054.0,34.0,88.0,14.0,665.0,41.0,119.0,428,2024-08-12 16:08:28,1.0.1,,,47.0,Scala testing library with actionable errors and extensible APIs.,,,51.0,18,True,3,,,"['scala3', 'scalajs']",,,,
125,reboot,dispatch/reboot,http,https://github.com/dispatch/reboot,https://github.com/dispatch/reboot,LGPL-3.0,2011-12-11 22:33:52,2024-08-25 03:41:28,2024-08-25 03:40:21,752.0,30.0,105.0,34.0,136.0,4.0,100.0,426,2024-08-25 03:33:13,2.0.0,,,25.0,Scala wrapper for the Java AsyncHttpClient.,,,39.0,18,True,3,,,,,,,
126,metrics-scala,erikvanoosten/metrics-scala,others,https://github.com/erikvanoosten/metrics-scala,https://github.com/erikvanoosten/metrics-scala,Apache-2.0,2012-09-10 17:53:21,2024-09-04 15:38:52,2024-09-04 15:38:52,2395.0,17.0,62.0,13.0,469.0,1.0,73.0,426,2019-06-04 12:08:41,4.0.6,,,12.0,The scala API for Dropwizards Metrics.,,,90.0,18,True,1,,,['scala3'],,,,
127,endpoints4s,endpoints4s/endpoints4s,http,https://github.com/endpoints4s/endpoints4s,https://github.com/endpoints4s/endpoints4s,MIT,2016-04-25 12:48:00,2024-09-03 19:55:34,2024-09-03 19:55:33,1603.0,5.0,95.0,11.0,1083.0,37.0,171.0,407,2023-12-07 18:06:02,1.11.1,,,31.0,"Describe HTTP endpoints in Scala and derive clients, servers, and documentation.",,,64.0,18,True,3,,,"['scala3', 'scalajs']",,,,
128,sbt-sonatype,xerial/sbt-sonatype,sbt,https://github.com/xerial/sbt-sonatype,https://github.com/xerial/sbt-sonatype,Apache-2.0,2014-01-20 16:13:49,2024-09-04 16:55:50,2024-09-04 16:55:48,752.0,17.0,61.0,14.0,411.0,14.0,91.0,334,2024-08-19 18:20:51,3.11.3,,,13.0,A sbt plugin for publishing Scala/Java projects to the Maven central.,,,35.0,18,True,2,,,,,,,
129,sbt-microsites,47degrees/sbt-microsites,sbt,https://github.com/47degrees/sbt-microsites,https://github.com/47degrees/sbt-microsites,Apache-2.0,2016-09-05 23:33:02,2024-08-21 05:13:05,2024-04-29 05:19:30,1290.0,,61.0,51.0,680.0,17.0,122.0,319,2023-11-10 13:36:09,1.4.4,,,79.0,An sbt plugin to create awesome microsites for your project.,,,76.0,18,True,2,,,,,,,
130,diffson,gnieh/diffson,json,https://github.com/gnieh/diffson,https://github.com/gnieh/diffson,Apache-2.0,2013-08-30 15:50:35,2024-08-19 15:42:14,2024-07-22 16:55:39,560.0,16.0,51.0,13.0,381.0,9.0,48.0,313,2024-04-02 18:25:18,4.6.0,,,16.0,A scala diff/patch library for Json.,,,32.0,18,True,2,,,"['scala3', 'scalajs']",,,,
131,sbt-ci-release,sbt/sbt-ci-release,sbt,https://github.com/sbt/sbt-ci-release,https://github.com/sbt/sbt-ci-release,Apache-2.0,2018-06-10 21:45:29,2024-08-22 14:43:35,2024-08-22 14:43:35,478.0,12.0,72.0,10.0,231.0,4.0,70.0,283,2024-08-19 19:50:16,1.6.1,,,26.0,sbt plugin to automate Sonatype releases from GitHub Actions.,,,60.0,18,True,2,,,,,,,
132,fs2-aws,laserdisc-io/fs2-aws,others,https://github.com/laserdisc-io/fs2-aws,https://github.com/laserdisc-io/fs2-aws,MIT,2018-01-13 18:32:52,2024-08-12 22:35:12,2024-07-22 15:40:55,769.0,12.0,47.0,5.0,1151.0,17.0,52.0,189,2024-05-01 18:58:29,6.1.3,,,65.0,fs2 utilities to interact with AWS.,,,30.0,18,True,1,,,['scala3'],,,,
