,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,maven_id,labels,maven_url,maven_latest_release_published_at,maven_dependent_project_count,trending,new_addition
85,eff,atnos-org/eff,toolkits,https://github.com/atnos-org/eff,https://github.com/atnos-org/eff,MIT,2016-01-04 22:34:26,2023-09-28 05:44:24,2023-09-28 05:44:24,1182,71.0,80.0,19,621.0,4.0,63.0,563,2023-09-28 04:33:14,7.0.1,,,73.0,Eff monad for cats - https://atnos-org.github.io/eff.,,,42.0,20,True,2,,"['scala3', 'scalajs']",,,,,
86,scapegoat,scapegoat-scala/scapegoat,development-cycle,https://github.com/scapegoat-scala/scapegoat,https://github.com/scapegoat-scala/scapegoat,Apache-2.0,2013-11-21 17:45:58,2023-09-27 05:27:56,2023-09-27 05:27:55,1340,36.0,82.0,20,552.0,42.0,200.0,493,2023-09-21 19:34:02,2.1.3,,,20.0,Scala compiler plugin for static code analysis.,,,63.0,20,True,3,,,,,,,
87,mima,lightbend/mima,sbt,https://github.com/lightbend/mima,https://github.com/lightbend/mima,Apache-2.0,2012-05-24 14:08:57,2023-09-28 16:21:30,2023-09-25 10:14:28,1500,28.0,67.0,20,566.0,26.0,188.0,442,2023-07-18 19:55:41,1.1.3,,,32.0,A tool for catching binary incompatibility in Scala.,,,48.0,20,True,1,,['scala3'],,,,,
88,udash-core,UdashFramework/udash-core,web-frameworks,https://github.com/UdashFramework/udash-core,https://github.com/UdashFramework/udash-core,Apache-2.0,2016-02-25 09:35:23,2023-09-27 06:07:40,2023-09-27 06:07:40,3364,78.0,36.0,18,1027.0,30.0,87.0,439,2023-09-25 12:19:46,0.10.0,,,21.0,Scala framework for building beautiful and maintainable web applications.,,,37.0,20,True,2,,['scalajs'],,,,,
89,play-swagger,iheartradio/play-swagger,others,https://github.com/iheartradio/play-swagger,https://github.com/iheartradio/play-swagger,Apache-2.0,2015-09-17 20:56:52,2023-08-31 05:17:09,2023-07-28 01:36:51,778,41.0,127.0,24,436.0,88.0,160.0,404,2023-07-27 02:50:55,1.1.12,,,39.0,Swagger spec generator for play framework.,,,54.0,20,True,1,,,,,,,
90,play-json,playframework/play-json,json,https://github.com/playframework/play-json,https://github.com/playframework/play-json,Apache-2.0,2016-12-06 03:45:35,2023-09-20 09:34:58,2023-09-18 20:58:56,1283,57.0,130.0,18,813.0,43.0,77.0,348,2023-09-19 21:40:30,2.10.1,,,14.0,The Play JSON library.,,,64.0,20,True,2,,"['scala3', 'scalajs', 'play']",,,,,
91,scalaxb,eed3si9n/scalaxb,http,https://github.com/eed3si9n/scalaxb,https://github.com/eed3si9n/scalaxb,MIT,2010-02-05 05:50:50,2023-09-26 22:13:31,2023-09-26 22:13:23,1283,2.0,151.0,23,172.0,155.0,281.0,330,2023-06-24 23:39:08,1.11.1,,,20.0,scalaxb is an XML data binding tool for Scala.,,,67.0,20,True,2,,,,,,,
92,scanamo,scanamo/scanamo,db-clients,https://github.com/scanamo/scanamo,https://github.com/scanamo/scanamo,Apache-2.0,2016-02-01 10:58:52,2023-09-26 18:54:59,2023-09-15 19:22:04,2074,4.0,125.0,37,1519.0,74.0,153.0,317,2023-09-14 20:14:41,1.0.0-M27,,,15.0,Simpler DynamoDB access for Scala.,,,84.0,20,True,2,,['scala3'],,,,,
93,scala-js-dom,scala-js/scala-js-dom,scala-js,https://github.com/scala-js/scala-js-dom,https://github.com/scala-js/scala-js-dom,,2013-10-15 02:35:07,2023-09-28 01:09:16,2023-09-27 23:41:05,1490,66.0,160.0,18,604.0,22.0,194.0,301,2023-09-28 01:09:16,2.8.0,,,10.0,Statically typed DOM API for Scala.js.,,,112.0,20,False,2,,"['scala3', 'scalajs']",,,,,
94,breeze,scalanlp/breeze,sci,https://github.com/scalanlp/breeze,https://github.com/scalanlp/breeze,Apache-2.0,2009-07-08 23:22:52,2022-08-22 04:52:00,2022-08-22 04:51:38,3725,,704.0,210,318.0,86.0,451.0,3415,,,,,,Breeze is a numerical processing library for Scala.,,,142.0,19,True,2,,['scala3'],,,,,
