,name,github_id,maven_id,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,maven_url,maven_latest_release_published_at,dependent_project_count,maven_dependent_project_count,show,projectrank_placing,github_dependent_project_count,github_release_downloads,monthly_downloads,trending,updated_github_id
24,elastic4s,sksamuel/elastic4s,com.sksamuel.elastic4s:elastic4s_2.13,db-clients,['scala3'],https://github.com/Philippus/elastic4s,https://github.com/Philippus/elastic4s,Apache-2.0,2013-06-10 20:23:57,2025-04-23 06:41:47,2025-04-23 06:41:46,5101.0,58.0,683.0,73.0,2237.0,13.0,1162.0,1637,2025-03-17 08:14:22,8.17.1,60.0,"Elasticsearch Scala Client - Reactive, Non Blocking, Type Safe, HTTP Client.",418.0,26,https://search.maven.org/artifact/com.sksamuel.elastic4s/elastic4s_2.13,,,,True,1,,,,,Philippus/elastic4s
25,eclair,acinq/eclair,,others,,https://github.com/ACINQ/eclair,https://github.com/ACINQ/eclair,Apache-2.0,2015-08-19 11:47:01,2025-04-24 17:18:40,2025-04-24 17:17:56,2757.0,71.0,266.0,88.0,2209.0,50.0,712.0,1291,2025-03-11 15:43:28,0.12.0,40.0,A scala implementation of the Lightning Network.,53.0,26,,,,,True,1,,47254.0,487.0,,
26,tinylog,tinylog-org/tinylog,,logging,,https://github.com/tinylog-org/tinylog,https://github.com/tinylog-org/tinylog,Apache-2.0,2012-09-13 11:21:42,2025-04-24 12:32:07,2025-04-24 12:29:41,1283.0,34.0,82.0,12.0,548.0,39.0,221.0,737,2024-01-31 20:36:31,2.7.0,83.0,"tinylog is a lightweight logging framework for Java, Kotlin, Scala, and Android.",23.0,26,,,1721.0,,True,1,1721.0,62829.0,502.0,,
27,Snowplow,snowplow/snowplow,,sci,,https://github.com/snowplow/snowplow,https://github.com/snowplow/snowplow,Apache-2.0,2012-03-01 13:02:21,2025-03-24 09:25:41,2025-03-11 18:25:30,6751.0,2.0,1189.0,266.0,495.0,57.0,3906.0,6915,2022-01-31 21:28:26,22.01,85.0,The leader in Next-Generation Customer Data Infrastructure.,105.0,25,,,21.0,,True,2,21.0,7401.0,52.0,,
28,scala-js,scala-js/scala-js,,scala-js,['scalajs'],https://github.com/scala-js/scala-js,https://github.com/scala-js/scala-js,Apache-2.0,2013-02-18 16:33:55,2025-04-21 18:18:52,2025-04-21 09:41:44,7565.0,52.0,393.0,145.0,2863.0,58.0,2222.0,4631,2025-04-21 08:51:34,1.19.0,31.0,"Scala.js, the Scala to JavaScript compiler.",106.0,25,,,,,True,1,,,,,
29,doobie,tpolecat/doobie,,db-clients,['scala3'],https://github.com/typelevel/doobie,https://github.com/typelevel/doobie,MIT,2013-11-25 07:25:20,2025-04-22 19:31:00,2025-04-22 19:30:59,3876.0,124.0,364.0,66.0,1661.0,123.0,451.0,2189,2025-04-18 10:15:47,1.0.0-RC9,23.0,Functional JDBC layer for Scala.,189.0,25,,,,,True,1,,,,,typelevel/doobie
30,sttp,softwaremill/sttp,,http,"['scala3', 'scalajs']",https://github.com/softwaremill/sttp,https://github.com/softwaremill/sttp,Apache-2.0,2017-06-30 15:15:07,2025-04-24 00:42:28,2025-04-24 00:42:27,6047.0,141.0,318.0,38.0,2085.0,14.0,449.0,1470,2025-04-17 08:38:33,4.0.3,100.0,The Scala HTTP client you always wanted!.,227.0,25,,,,,True,2,,,,,
31,scalapb,scalapb/scalapb,,data,"['scala3', 'scalajs']",https://github.com/scalapb/ScalaPB,https://github.com/scalapb/ScalaPB,Apache-2.0,2014-10-02 01:11:41,2025-04-22 18:37:52,2025-04-22 18:37:51,2623.0,24.0,284.0,42.0,1240.0,38.0,582.0,1314,2024-10-01 03:15:46,1.0.0-alpha.1,100.0,Protocol buffer compiler for Scala.,129.0,25,,,,,True,1,,581545.0,5757.0,,
32,scala-cli,VirtusLab/scala-cli,,development-cycle,['scala3'],https://github.com/VirtusLab/scala-cli,https://github.com/VirtusLab/scala-cli,Apache-2.0,2021-05-10 12:29:24,2025-04-24 16:36:24,2025-04-24 16:36:24,4683.0,167.0,140.0,18.0,2521.0,302.0,744.0,595,2025-03-18 07:51:09,1.7.1,66.0,"Scala CLI is a command-line tool to interact with the Scala language. It lets you compile, run, test, and package your..",95.0,25,,,,,True,2,,1873986.0,42590.0,,
33,slick,slick/slick,,db-clients,['scala3'],https://github.com/slick/slick,https://github.com/slick/slick,BSD-2-Clause,2009-02-20 22:51:53,2025-04-01 22:40:55,2025-04-01 22:40:54,3576.0,30.0,614.0,141.0,1690.0,433.0,955.0,2654,2025-03-12 08:04:42,3.6.0,23.0,Slick (Scala Language Integrated Connection Kit) is a modern database query and access library for Scala.,207.0,24,,,,,True,1,,,,,
