,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,labels,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count
131,metrics-scala,erikvanoosten/metrics-scala,others,https://github.com/erikvanoosten/metrics-scala,https://github.com/erikvanoosten/metrics-scala,Apache-2.0,2012-09-10 17:53:21,2023-09-06 18:54:34,2023-08-31 18:56:00,2333,21.0,61.0,12,415.0,2.0,72.0,428,2019-06-04 12:08:41,4.0.6,,,12.0,The scala API for Dropwizards Metrics.,,,90.0,18,True,2,,['scala3'],,,,
132,munit,scalameta/munit,test,https://github.com/scalameta/munit,https://github.com/scalameta/munit,Apache-2.0,2020-01-03 00:01:20,2023-09-05 17:07:48,2023-09-05 16:58:04,912,20.0,72.0,15,564.0,45.0,95.0,386,2023-06-09 12:50:53,1.0.0-M8,,,40.0,Scala testing library with actionable errors and extensible APIs.,,,45.0,18,True,3,,"['scala3', 'scalajs']",,,,
133,mdoc,scalameta/mdoc,sbt,https://github.com/scalameta/mdoc,https://github.com/scalameta/mdoc,Apache-2.0,2017-10-23 07:00:47,2023-09-07 13:14:21,2023-09-07 13:14:21,1282,38.0,68.0,10,602.0,53.0,143.0,372,2023-02-07 19:04:02,2.3.7,,,64.0,Typechecked markdown documentation for Scala.,,,43.0,18,True,2,,['scala3'],,,,
134,play-json,playframework/play-json,json,https://github.com/playframework/play-json,https://github.com/playframework/play-json,Apache-2.0,2016-12-06 03:45:35,2023-08-26 07:28:43,2023-08-26 07:28:43,1257,37.0,130.0,19,801.0,43.0,75.0,349,2023-01-24 07:38:59,2.9.4,,,12.0,The Play JSON library.,,,64.0,18,True,3,,"['scala3', 'scalajs', 'play']",,,,
135,sbt-sonatype,xerial/sbt-sonatype,sbt,https://github.com/xerial/sbt-sonatype,https://github.com/xerial/sbt-sonatype,Apache-2.0,2014-01-20 16:13:49,2023-09-05 16:19:27,2023-09-05 16:19:26,688,23.0,48.0,14,340.0,9.0,86.0,314,2023-05-16 17:40:36,3.9.21,,,8.0,A sbt plugin for publishing Scala/Java projects to the Maven central.,,,28.0,18,True,2,,,,,,
136,scalismo,unibas-gravis/scalismo,media,https://github.com/unibas-gravis/scalismo,https://github.com/unibas-gravis/scalismo,Apache-2.0,2015-02-13 13:58:38,2023-06-30 13:20:59,2023-06-30 12:37:53,1832,13.0,64.0,19,337.0,13.0,62.0,232,2023-07-04 08:48:44,0.92.0,,,7.0,Scalable Image Analysis and Shape Modelling.,,,22.0,18,True,2,,['scala3'],,,,
137,cats-parse,typelevel/cats-parse,parsers,https://github.com/typelevel/cats-parse,https://github.com/typelevel/cats-parse,MIT,2020-10-30 21:53:24,2023-09-05 12:07:27,2023-09-02 10:25:19,410,31.0,45.0,15,447.0,25.0,69.0,217,2023-06-25 22:06:52,0.3.10,,,14.0,A parsing library for the cats ecosystem.,,,31.0,18,True,1,,"['scala3', 'scalajs']",,,,
138,play-ws,playframework/play-ws,http,https://github.com/playframework/play-ws,https://github.com/playframework/play-ws,Apache-2.0,2016-12-07 23:00:14,2023-08-29 21:27:12,2023-08-21 13:43:32,976,23.0,84.0,15,647.0,72.0,75.0,216,2023-07-21 16:37:14,2.1.11,,,13.0,"Standalone Play WS, an async HTTP client with fluent API.",,,48.0,18,True,3,,"['scala3', 'play']",,,,
139,sbt-scalafmt,scalameta/sbt-scalafmt,sbt,https://github.com/scalameta/sbt-scalafmt,https://github.com/scalameta/sbt-scalafmt,Apache-2.0,2018-06-10 21:10:13,2023-09-04 03:57:30,2023-09-04 03:57:29,264,16.0,35.0,9,216.0,3.0,59.0,166,2023-08-31 00:01:20,2.5.2,,,25.0,sbt plugin for Scalafmt.,,,27.0,18,True,2,,,,,,
140,couchbase-jvm-clients,couchbase/couchbase-jvm-clients,db-clients,https://github.com/couchbase/couchbase-jvm-clients,https://github.com/couchbase/couchbase-jvm-clients,Apache-2.0,2018-10-01 16:44:58,2023-09-07 11:26:27,2023-09-07 11:26:25,2471,96.0,35.0,10,25.0,1.0,,39,,,,,,"The Couchbase Monorepo for JVM Clients: Java, Scala, io-core.",144.0,144.0,21.0,18,True,2,,,,,,
