,name,github_id,category,homepage,contributor_count,github_url,license,created_at,updated_at,projectrank,fork_count,open_issue_count,star_count,description,show,projectrank_placing,maven_id,labels,dependent_project_count,github_dependent_project_count,maven_url,maven_latest_release_published_at,latest_stable_release_published_at,latest_stable_release_number,release_count,maven_dependent_project_count,trending
342,ninny-json,nrktkt/ninny-json,json,https://github.com/nrktkt/ninny-json,7.0,https://github.com/nrktkt/ninny-json,Unlicense,2020-07-10 17:01:21.000,2026-04-22 23:11:48,7,9.0,22.0,21.0,JSON typeclasses that know the difference between null and absent fields.,True,3.0,,['scala3'],,,,,,,,,
343,aws-request-signer,ticofab/aws-request-signer,sec,https://github.com/ticofab/aws-request-signer,10.0,https://github.com/ticofab/aws-request-signer,Apache-2.0,2015-12-18 10:09:29.000,2019-08-13 16:19:00,7,14.0,3.0,21.0,Scala library to sign HTTP requests to AWS services.,False,3.0,,,,,,,,,,,
344,stac4s,stac-utils/stac4s,others,https://github.com/stac-utils/stac4s,16.0,https://github.com/stac-utils/stac4s,Apache-2.0,2019-11-23 20:43:52.000,2025-11-03 11:40:08,7,11.0,21.0,17.0,A Scala library with primitives to build applications using the SpatioTemporal Asset Catalogs specification.,True,3.0,,['scalajs'],,,,,,,,,
345,analogweb-scala,analogweb/analogweb-scala,web-frameworks,https://github.com/analogweb/analogweb-scala,4.0,https://github.com/analogweb/analogweb-scala,MIT,2013-12-19 15:49:54.000,2025-01-04 07:50:29,7,2.0,2.0,13.0,Tiny High Performance HTTP Server for Scala.,False,3.0,,['scala3'],,,,,,,,,
346,aptus-core,aptusproject/aptus-core,others,https://github.com/aptusproject/aptus-core,1.0,https://github.com/aptusproject/aptus-core,Apache-2.0,2021-05-25 18:13:35.000,2025-06-19 14:05:12,7,1.0,,10.0,A utility library aiming to simplify the Scala coding experience.,False,3.0,,['scala3'],,,,,,,,,
347,morpheus,outworkers/morpheus,db-clients,https://github.com/outworkers/morpheus,5.0,https://github.com/outworkers/morpheus,,2015-09-03 10:48:15.000,2019-06-12 10:57:50,6,6.0,,101.0,Reactive type-safe Scala driver for SQL databases.,False,3.0,,,,,,,,,,,
348,sfcurve,locationtech/sfcurve,others,https://github.com/locationtech/sfcurve,6.0,https://github.com/locationtech/sfcurve,,2015-06-25 18:38:33.000,2022-11-28 19:43:38,6,26.0,7.0,87.0,"LocationTech SFCurve is a Scala library for the creation, transformation, and querying of space-filling curves.",False,3.0,,,,,,,,,,,
349,pagelets,splink/pagelets,web-frameworks,https://github.com/splink/pagelets,2.0,https://github.com/splink/pagelets,Apache-2.0,2016-10-03 17:48:28.000,2021-10-22 18:10:27,6,5.0,,76.0,A module for the Play Framework to build highly modular applications.,False,3.0,,,,,,,,,,,
350,synapses,mrdimosthenis/synapses,sci,https://github.com/mrdimosthenis/synapses,6.0,https://github.com/mrdimosthenis/synapses,,2019-11-24 17:51:43.000,2021-09-23 20:55:47,6,6.0,,73.0,A group of neural-network libraries for functional and mainstream languages.,False,3.0,,,,,,,,,,,
351,spliff,sirthias/spliff,others,https://github.com/sirthias/spliff,3.0,https://github.com/sirthias/spliff,MPL-2.0,2021-04-22 08:08:09.000,2025-11-04 14:14:50,6,2.0,1.0,61.0,Efficient diffing in Scala.,True,3.0,,"['scala3', 'scalajs']",,,,,,,,,
