,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,github_release_downloads,monthly_downloads,maven_id,maven_url,new_addition,dependent_project_count,github_dependent_project_count,updated_github_id,trending,labels
23,finch,finagle/finch,http,https://github.com/finagle/finch,https://github.com/finagle/finch,Apache-2.0,2014-04-15 12:17:44,2023-03-30 19:14:18,2023-03-30 19:14:17,2241,33.0,221.0,62,1188.0,38.0,367.0,1591,2022-09-16 18:19:38,0.34.0,61.0,Scala combinator library for building Finagle HTTP services.,127.0,22,True,2,,,,,True,,,,,
24,Binding.scala,ThoughtWorksInc/Binding.scala,web-frameworks,https://github.com/ThoughtWorksInc/Binding.scala,https://github.com/ThoughtWorksInc/Binding.scala,MIT,2016-01-06 15:28:52,2023-03-28 20:17:45,2023-03-09 15:38:49,1563,89.0,103.0,118,391.0,39.0,62.0,1572,2023-01-26 04:19:51,12.2.0,82.0,Reactive data-binding for Scala.,25.0,22,True,2,,,,,,,,,,
25,skunk,tpolecat/skunk,db-clients,https://github.com/tpolecat/skunk,https://github.com/tpolecat/skunk,MIT,2018-09-21 06:46:41,2023-04-03 10:30:28,2023-03-28 14:55:15,1439,113.0,130.0,31,720.0,63.0,54.0,1437,2023-01-20 00:56:55,0.5.1,23.0,A data access library for Scala + Postgres.,60.0,22,True,1,,,,,,,,,,
26,spark-testing-base,holdenk/spark-testing-base,test,https://github.com/holdenk/spark-testing-base,https://github.com/holdenk/spark-testing-base,Apache-2.0,2015-01-30 22:23:59,2023-02-28 15:48:10,2023-02-09 06:46:45,735,14.0,347.0,81,172.0,85.0,118.0,1423,2022-06-29 04:10:24,1.1.2,3.0,Base classes to use when writing tests with Spark.,59.0,22,True,1,,,,,True,30.0,30.0,,,
27,scalikejdbc,scalikejdbc/scalikejdbc,db-clients,https://github.com/scalikejdbc/scalikejdbc,https://github.com/scalikejdbc/scalikejdbc,Apache-2.0,2011-11-18 06:56:36,2023-04-03 23:30:29,2023-04-03 23:30:29,3166,40.0,221.0,61,1448.0,27.0,448.0,1238,2021-10-31 01:07:09,4.0.0,46.0,A tidy SQL-based DB access library for Scala developers. This library naturally wraps JDBC APIs and provides you easy-..,104.0,22,True,1,,,org.scalikejdbc:scalikejdbc_2.13,https://search.maven.org/artifact/org.scalikejdbc/scalikejdbc_2.13,,,,,,
28,slick-pg,tminglei/slick-pg,db-clients,https://github.com/tminglei/slick-pg,https://github.com/tminglei/slick-pg,BSD-2-Clause,2013-05-09 15:57:40,2023-03-31 00:15:36,2023-03-27 02:06:35,1133,34.0,171.0,22,256.0,107.0,267.0,818,2022-12-08 23:15:05,0.21.1,88.0,Slick extensions for PostgreSQL.,91.0,22,True,1,,,,,,,,,,
29,airframe,wvlet/airframe,di,https://github.com/wvlet/airframe,https://github.com/wvlet/airframe,Apache-2.0,2016-08-14 07:00:12,2023-04-04 19:38:10,2023-04-04 02:13:54,3817,124.0,59.0,21,2295.0,93.0,426.0,593,2023-03-25 04:01:37,23.3.4,79.0,Essential Building Blocks for Scala.,43.0,22,True,1,,,,,True,,,,,
30,scalaxb,eed3si9n/scalaxb,http,https://github.com/eed3si9n/scalaxb,https://github.com/eed3si9n/scalaxb,MIT,2010-02-05 05:50:50,2023-03-27 15:24:26,2023-03-12 07:51:00,1279,19.0,150.0,23,171.0,151.0,280.0,328,2023-02-26 19:01:37,1.11.0,19.0,scalaxb is an XML data binding tool for Scala.,67.0,22,True,2,,,,,True,,,,,
31,util,twitter/util,toolkits,https://github.com/twitter/util,https://github.com/twitter/util,Apache-2.0,2011-03-26 01:23:21,2023-03-20 11:16:13,2023-02-23 02:17:48,3116,2.0,555.0,228,195.0,4.0,111.0,2610,2022-12-26 14:38:56,util-22.12.0,81.0,Wonderful reusable code from Twitter.,316.0,21,True,2,,,,,,,,,-1.0,
32,scalajs-react,japgolly/scalajs-react,web-frameworks,https://github.com/japgolly/scalajs-react,https://github.com/japgolly/scalajs-react,Apache-2.0,2014-07-03 09:58:42,2023-03-06 08:50:32,2022-06-24 03:27:25,3190,,228.0,67,552.0,23.0,507.0,1613,2022-04-26 04:07:04,2.1.1,65.0,Facebooks React on Scala.JS.,80.0,21,True,2,,,,,,,,,,
