,name,github_id,maven_id,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,maven_url,maven_latest_release_published_at,maven_dependent_project_count,show,projectrank_placing,github_release_downloads,monthly_downloads,updated_github_id,trending
110,play-ws,playframework/play-ws,,http,"['scala3', 'play']",https://github.com/playframework/play-ws,https://github.com/playframework/play-ws,Apache-2.0,2016-12-07 23:00:14,2024-06-16 20:21:07,2024-06-16 20:21:04,1115.0,26.0,87.0,15.0,752.0,79.0,78.0,223,2024-05-05 06:15:24,3.0.3,26.0,"Standalone Play WS, an async HTTP client with fluent API.",,,50.0,19,,,,True,2,,,,
111,scalatra,scalatra/scalatra,,web-frameworks,['scala3'],https://github.com/scalatra/scalatra,https://github.com/scalatra/scalatra,,2009-05-31 09:20:32,2024-06-17 14:23:54,2024-06-17 14:23:54,4067.0,20.0,335.0,81.0,1248.0,70.0,375.0,2640,,,,"Tiny Scala high-performance, async web framework, inspired by Sinatra.",,,136.0,18,,,,False,2,,,,
112,Binding.scala,ThoughtWorksInc/Binding.scala,,web-frameworks,"['scala3', 'scalajs']",https://github.com/ThoughtWorksInc/Binding.scala,https://github.com/ThoughtWorksInc/Binding.scala,MIT,2016-01-06 15:28:52,2024-06-16 00:07:06,2024-04-08 03:06:33,1647.0,2.0,108.0,113.0,442.0,45.0,64.0,1585,2023-01-26 04:19:51,12.2.0,82.0,Reactive data-binding for Scala.,,,25.0,18,,,,True,2,,,,
113,macwire,softwaremill/macwire,,di,"['scala3', 'scalajs']",https://github.com/softwaremill/macwire,https://github.com/softwaremill/macwire,Apache-2.0,2013-03-17 13:20:04,2024-05-29 00:26:26,2024-05-29 00:25:51,794.0,7.0,76.0,60.0,212.0,73.0,69.0,1258,2023-08-18 12:36:50,2.5.9,17.0,Lightweight and Nonintrusive Scala Dependency Injection Library.,,,42.0,18,,,,True,2,,,,
114,enumeratum,lloydmeta/enumeratum,,toolkits,"['scala3', 'scalajs']",https://github.com/lloydmeta/enumeratum,https://github.com/lloydmeta/enumeratum,MIT,2014-12-05 10:49:34,2024-06-19 10:07:29,2024-05-06 07:59:59,556.0,8.0,146.0,27.0,267.0,30.0,102.0,1181,2024-05-06 08:01:03,enumeratum-slick-1.7.6,74.0,"A type-safe, reflection-free, powerful enumeration implementation for Scala with exhaustive pattern match warnings and..",,,91.0,18,,,,True,2,,,,
115,async,scala/scala-async,,toolkits,['scalajs'],https://github.com/scala/scala-async,https://github.com/scala/scala-async,Apache-2.0,2013-04-01 22:22:27,2024-05-13 00:12:41,2024-05-13 00:12:41,763.0,4.0,94.0,54.0,253.0,14.0,76.0,1143,2021-09-09 21:50:20,1.0.1,21.0,An asynchronous programming facility for Scala.,,,28.0,18,,,,True,2,,,,
116,fastparse,com-lihaoyi/fastparse,,parsers,"['scala3', 'scalajs']",https://github.com/com-lihaoyi/fastparse,https://github.com/com-lihaoyi/fastparse,MIT,2014-11-29 08:35:28,2024-06-18 21:33:53,2024-06-18 21:32:22,957.0,6.0,164.0,35.0,162.0,22.0,124.0,1082,2021-09-07 10:21:47,2.3.3,2.0,Writing Fast Parsers Fast in Scala.,,,54.0,18,,,,True,1,,,,
117,cassovary,twitter/cassovary,,toolkits,,https://github.com/twitter/cassovary,https://github.com/twitter/cassovary,Apache-2.0,2012-02-21 23:22:30,2021-10-08 21:22:29,2021-10-08 21:22:23,503.0,,149.0,162.0,155.0,33.0,48.0,1041,2015-03-18 21:37:14,5.1.0,5.0,Cassovary is a simple big graph processing library for the JVM.,,,30.0,18,,,,False,2,,,,
118,bidmach,biddata/bidmach,,bigdata,,https://github.com/BIDData/BIDMach,https://github.com/BIDData/BIDMach,BSD-3-Clause,2012-10-22 03:17:08,2022-10-04 23:35:03,2020-06-03 05:15:57,3024.0,,171.0,88.0,61.0,67.0,90.0,913,2017-03-26 04:20:02,1.1.2,9.0,CPU and GPU-accelerated Machine Learning Library.,,,45.0,18,,,,False,3,,,,
119,scala-parser-combinators,scala/scala-parser-combinators,,parsers,"['scala3', 'scalajs']",https://github.com/scala/scala-parser-combinators,https://github.com/scala/scala-parser-combinators,Apache-2.0,2013-08-15 18:35:18,2024-06-10 08:39:52,2024-06-10 08:39:52,1026.0,9.0,132.0,32.0,430.0,23.0,99.0,645,2024-04-18 04:36:44,2.4.0,19.0,"simple combinator-based parsing for Scala. formerly part of the Scala standard library, now a separate community-..",,,70.0,18,,,,True,1,,,,
120,chill,twitter/chill,,data,,https://github.com/twitter/chill,https://github.com/twitter/chill,Apache-2.0,2012-10-15 22:01:08,2024-06-04 19:50:29,2023-03-19 07:21:05,928.0,,154.0,133.0,663.0,74.0,92.0,608,2021-06-04 22:29:04,0.10.0,34.0,Scala extensions for the Kryo serialization library.,,,67.0,18,,,,True,2,,,,
121,scalariform,scala-ide/scalariform,,development-cycle,,https://github.com/scala-ide/scalariform,https://github.com/scala-ide/scalariform,MIT,2010-04-10 22:24:20,2024-05-11 00:35:23,2019-06-11 05:21:17,734.0,,148.0,27.0,98.0,67.0,140.0,527,2019-06-11 05:28:37,0.2.10,11.0,Scala source code formatter.,,,56.0,18,,,,False,3,9694.0,116.0,,
122,jackson-module-scala,FasterXML/jackson-module-scala,,json,['scala3'],https://github.com/FasterXML/jackson-module-scala,https://github.com/FasterXML/jackson-module-scala,Apache-2.0,2010-11-29 23:01:08,2024-06-18 10:39:25,2024-06-13 20:57:34,1759.0,19.0,142.0,27.0,200.0,48.0,431.0,496,,,,Add-on module for Jackson (https://github.com/FasterXML/jackson) to support Scala-specific datatypes.,,,60.0,18,,,,True,2,,,,
123,jawn,typelevel/jawn,,json,"['scala3', 'scalajs']",https://github.com/typelevel/jawn,https://github.com/typelevel/jawn,,2012-10-01 02:04:45,2024-06-17 14:00:05,2024-06-17 14:00:01,1364.0,31.0,73.0,21.0,568.0,13.0,56.0,432,2024-05-29 20:49:23,1.6.0,23.0,Jawn is for parsing jay-sawn (JSON).,,,51.0,18,,,,False,2,,,,
124,metrics-scala,erikvanoosten/metrics-scala,,others,['scala3'],https://github.com/erikvanoosten/metrics-scala,https://github.com/erikvanoosten/metrics-scala,Apache-2.0,2012-09-10 17:53:21,2024-06-10 16:16:20,2024-06-10 16:16:20,2379.0,12.0,61.0,13.0,456.0,2.0,72.0,425,2019-06-04 12:08:41,4.0.6,12.0,The scala API for Dropwizards Metrics.,,,90.0,18,,,,True,1,,,,
125,endpoints4s,endpoints4s/endpoints4s,,http,"['scala3', 'scalajs']",https://github.com/endpoints4s/endpoints4s,https://github.com/endpoints4s/endpoints4s,MIT,2016-04-25 12:48:00,2024-05-23 15:41:12,2024-05-21 17:47:22,1598.0,7.0,95.0,11.0,1066.0,37.0,169.0,405,2023-12-07 18:06:02,1.11.1,31.0,"Describe HTTP endpoints in Scala and derive clients, servers, and documentation.",,,64.0,18,,,,True,3,,,,
126,ox,softwaremill/ox,,toolkits,['scala3'],https://github.com/softwaremill/ox,https://github.com/softwaremill/ox,Apache-2.0,2023-01-18 14:28:30,2024-06-20 11:33:21,2024-06-18 10:11:40,417.0,59.0,23.0,27.0,118.0,27.0,15.0,334,2024-06-18 10:17:44,0.2.2,29.0,Safe direct style concurrency and resiliency for Scala on the JVM.,,,18.0,18,,,,True,2,,,,
