,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,maven_id,labels,maven_url,maven_latest_release_published_at,maven_dependent_project_count,trending
69,stryker4s,stryker-mutator/stryker4s,test,https://github.com/stryker-mutator/stryker4s,https://github.com/stryker-mutator/stryker4s,Apache-2.0,2018-06-20 14:14:40,2024-02-29 15:57:40,2024-02-29 14:49:58,1404.0,52.0,35.0,7.0,1349.0,33.0,133.0,191,2023-12-27 12:57:33,0.16.0,,,42.0,Mutation testing for Scala.,3.0,3.0,32.0,21,True,2,,['scala3'],,,,
70,scalaz,scalaz/scalaz,toolkits,https://github.com/scalaz/scalaz,https://github.com/scalaz/scalaz,,2010-01-16 06:18:51,2024-02-29 06:03:16,2024-02-27 10:30:37,7314.0,20.0,726.0,209.0,2120.0,164.0,422.0,4652,,,,,,Principled Functional Programming in Scala.,,,248.0,20,False,2,,"['scala3', 'scalajs']",,,,
71,breeze,scalanlp/breeze,sci,https://github.com/scalanlp/breeze,https://github.com/scalanlp/breeze,Apache-2.0,2009-07-08 23:22:52,2024-02-12 16:44:35,2024-02-12 16:44:34,3733.0,6.0,701.0,209.0,319.0,90.0,451.0,3426,,,,,,Breeze is a numerical processing library for Scala.,,,144.0,20,True,2,,['scala3'],,,,
72,summingbird,twitter/summingbird,bigdata,https://github.com/twitter/summingbird,https://github.com/twitter/summingbird,Apache-2.0,2012-09-25 22:38:35,2022-01-19 17:31:02,2022-01-19 17:31:02,1793.0,,267.0,293.0,494.0,163.0,134.0,2137,2016-06-23 21:16:10,0.11.0-RC1,,,24.0,Streaming MapReduce with Scalding and Storm.,,,44.0,20,False,2,,,,,,
73,sbt-assembly,sbt/sbt-assembly,sbt,https://github.com/sbt/sbt-assembly,https://github.com/sbt/sbt-assembly,MIT,2011-06-10 05:30:27,2024-01-31 06:02:41,2024-01-31 06:02:40,642.0,2.0,219.0,53.0,170.0,104.0,249.0,1931,2023-11-20 07:44:45,2.1.5,,,20.0,Deploy ber-JARs. Restart processes. (port of codahale/assembly-sbt).,,,80.0,20,True,1,,,,,,
74,spark-testing-base,holdenk/spark-testing-base,test,https://github.com/holdenk/spark-testing-base,https://github.com/holdenk/spark-testing-base,Apache-2.0,2015-01-30 22:23:59,2024-02-25 18:22:10,2024-02-21 00:32:00,767.0,2.0,365.0,79.0,207.0,99.0,119.0,1486,2023-04-25 21:17:13,1.4.3,,,4.0,Base classes to use when writing tests with Spark.,36.0,36.0,61.0,20,True,2,,,,,,
75,json4s,json4s/json4s,json,https://github.com/json4s/json4s,https://github.com/json4s/json4s,Apache-2.0,2012-08-23 23:18:46,2024-02-29 05:07:58,2024-02-24 05:27:43,1809.0,17.0,349.0,63.0,1028.0,161.0,254.0,1468,,,,,,JSON library.,,,129.0,20,True,2,,"['scala3', 'scalajs']",,,,
76,pureconfig,pureconfig/pureconfig,others,https://github.com/pureconfig/pureconfig,https://github.com/pureconfig/pureconfig,MPL-2.0,2015-08-29 17:05:50,2024-02-28 02:38:20,2024-02-27 18:42:35,2129.0,34.0,172.0,21.0,1338.0,47.0,252.0,1443,,,,,,A boilerplate-free library for loading configuration files.,,,86.0,20,True,1,,['scala3'],,,,
77,alpakka-kafka,akka/alpakka-kafka,bigdata,https://github.com/akka/alpakka-kafka,https://github.com/akka/alpakka-kafka,,2014-12-30 15:30:02,2024-02-22 08:08:01,2024-02-21 07:28:22,1798.0,8.0,400.0,76.0,1183.0,110.0,430.0,1416,2023-10-24 12:23:41,5.0.0,,,61.0,"Alpakka Kafka connector - Alpakka is a Reactive Enterprise Integration library for Java and Scala, based on Reactive..",,,131.0,20,False,2,,['scala3'],,,,
78,chimney,scalalandio/chimney,toolkits,https://github.com/scalalandio/chimney,https://github.com/scalalandio/chimney,Apache-2.0,2017-05-23 11:24:09,2024-02-28 09:54:45,2024-02-28 09:54:44,913.0,68.0,82.0,20.0,283.0,21.0,159.0,1078,2024-01-02 13:19:46,0.8.5,,,25.0,"Scala library for boilerplate-free, type-safe data transformations.",,,31.0,20,True,2,,"['scala3', 'scalajs']",,,,
