,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,trending,labels
28,finagle,twitter/finagle,distributed,https://github.com/twitter/finagle,https://github.com/twitter/finagle,Apache-2.0,2010-10-19 22:10:09,2023-06-23 05:19:05,2023-06-23 05:19:04,8126.0,2.0,1462.0,564.0,544.0,56.0,349.0,8681.0,2022-12-26 14:39:38,finagle-22.12.0,,,82.0,"A fault tolerant, protocol-agnostic RPC system.",517.0,24,True,2.0,,,,,,,-1.0,
29,smile,haifengl/smile,sci,https://github.com/haifengl/smile,https://github.com/haifengl/smile,,2014-11-20 16:28:12,2023-07-06 15:49:47,2023-07-06 15:49:38,3131.0,38.0,1118.0,273.0,173.0,10.0,556.0,5763.0,2023-06-14 12:20:00,3.0.2,10723.0,121.0,25.0,Statistical Machine Intelligence & Learning Engine.,71.0,24,False,1.0,,,,,,,,
30,cats,typelevel/cats,toolkits,https://github.com/typelevel/cats,https://github.com/typelevel/cats,,2015-01-28 20:26:48,2023-07-06 16:35:47,2023-07-04 04:45:30,6522.0,90.0,1218.0,187.0,3274.0,226.0,971.0,4957.0,2022-11-12 21:20:14,2.9.0,,,63.0,"Lightweight, modular, and extensible library for functional programming.",539.0,24,False,1.0,,,,,,,,
31,lagom,lagom/lagom,distributed,https://github.com/lagom/lagom,https://github.com/lagom/lagom,Apache-2.0,2016-02-23 01:51:06,2023-06-30 16:01:36,2023-06-30 16:01:35,2426.0,10.0,633.0,154.0,2273.0,455.0,642.0,2633.0,2021-12-14 11:16:46,1.6.7,,,49.0,Reactive Microservices for the JVM.,149.0,24,True,2.0,,,,,,,2.0,
32,fs2,typelevel/fs2,reactive,https://github.com/typelevel/fs2,https://github.com/typelevel/fs2,,2013-03-06 17:34:15,2023-07-05 20:11:29,2023-06-17 21:47:05,9139.0,81.0,581.0,93.0,2523.0,101.0,642.0,2238.0,2023-05-12 11:28:47,3.7.0,,,100.0,"Compositional, streaming I/O library for Scala.",303.0,24,False,1.0,,,,,,,,
33,sangria,sangria-graphql/sangria,misc,https://github.com/sangria-graphql/sangria,https://github.com/sangria-graphql/sangria,Apache-2.0,2015-07-05 21:29:30,2023-07-04 20:54:54,2023-07-01 06:25:25,2015.0,82.0,221.0,61.0,572.0,60.0,402.0,1944.0,2023-06-20 17:48:50,4.0.1,,,80.0,Scala GraphQL implementation.,64.0,24,True,1.0,,,,,,,,
34,refined,fthomas/refined,toolkits,https://github.com/fthomas/refined,https://github.com/fthomas/refined,MIT,2015-05-10 16:23:16,2023-07-04 16:35:16,2023-07-04 16:35:15,3073.0,51.0,154.0,28.0,989.0,70.0,149.0,1627.0,2023-06-16 17:05:18,0.11.0,,,68.0,Refinement types for Scala.,77.0,24,True,1.0,,,,,,,,
35,algebird,twitter/algebird,sci,https://github.com/twitter/algebird,https://github.com/twitter/algebird,Apache-2.0,2012-08-02 17:24:42,2023-07-05 11:20:44,2023-07-05 11:20:43,1871.0,14.0,343.0,237.0,890.0,101.0,166.0,2253.0,2021-11-04 15:58:52,0.13.9,,,29.0,Abstract Algebra for Scala.,114.0,23,True,2.0,,,,,,,1.0,
36,quill,zio/zio-quill,db-clients,https://github.com/zio/zio-quill,https://github.com/zio/zio-quill,Apache-2.0,2015-07-20 22:15:04,2023-07-04 17:40:13,2023-07-04 17:40:12,3402.0,62.0,347.0,69.0,1777.0,348.0,714.0,2126.0,2023-06-24 09:14:02,4.6.1,,,1.0,Compile-time Language Integrated Queries for Scala.,142.0,23,True,1.0,,,,,,,,['zio']
37,scalacheck,typelevel/scalacheck,test,https://github.com/typelevel/scalacheck,https://github.com/typelevel/scalacheck,BSD-3-Clause,2011-05-26 11:44:12,2023-07-06 15:36:36,2023-07-05 21:17:44,2024.0,84.0,401.0,58.0,643.0,60.0,286.0,1878.0,2022-09-15 23:24:43,1.17.0,,,10.0,Property-based testing for Scala.,135.0,23,True,1.0,,,,,,,,
38,giter8,foundweekends/giter8,env,https://github.com/foundweekends/giter8,https://github.com/foundweekends/giter8,Apache-2.0,2010-08-10 04:08:48,2023-07-06 14:05:56,2023-06-26 22:32:32,1288.0,28.0,229.0,74.0,540.0,44.0,228.0,1704.0,2023-05-02 05:25:32,0.16.2,,,17.0,a command line tool to apply templates defined on GitHub.,82.0,23,True,2.0,,,,,,,,
39,spark-testing-base,holdenk/spark-testing-base,test,https://github.com/holdenk/spark-testing-base,https://github.com/holdenk/spark-testing-base,Apache-2.0,2015-01-30 22:23:59,2023-06-30 17:58:06,2023-05-02 22:49:17,751.0,16.0,359.0,81.0,185.0,101.0,118.0,1441.0,2023-04-25 21:17:13,1.4.3,,,4.0,Base classes to use when writing tests with Spark.,60.0,23,True,1.0,34.0,34.0,,,,,,
40,akka-http,akka/akka-http,http,https://github.com/akka/akka-http,https://github.com/akka/akka-http,,2016-08-19 11:33:36,2023-06-29 14:42:07,2023-06-14 15:34:08,4379.0,20.0,603.0,76.0,2348.0,567.0,1367.0,1330.0,2023-05-05 09:13:49,10.5.2,,,57.0,The Streaming-first HTTP server/module of Akka.,351.0,23,False,2.0,,,,,,,,
41,scalikejdbc,scalikejdbc/scalikejdbc,db-clients,https://github.com/scalikejdbc/scalikejdbc,https://github.com/scalikejdbc/scalikejdbc,Apache-2.0,2011-11-18 06:56:36,2023-07-06 05:04:03,2023-07-01 05:18:33,3201.0,35.0,225.0,60.0,1505.0,26.0,449.0,1244.0,2021-10-31 01:07:09,4.0.0,,,46.0,A tidy SQL-based DB access library for Scala developers. This library naturally wraps JDBC APIs and provides you easy-..,104.0,23,True,1.0,7.0,,org.scalikejdbc:scalikejdbc_2.13,https://search.maven.org/artifact/org.scalikejdbc/scalikejdbc_2.13,2021-10-31 00:52:48,7.0,,
42,scalameta,scalameta/scalameta,toolkits,https://github.com/scalameta/scalameta,https://github.com/scalameta/scalameta,BSD-3-Clause,2014-06-16 23:00:32,2023-07-06 14:43:35,2023-07-06 14:43:34,7823.0,165.0,215.0,41.0,2071.0,141.0,1021.0,1047.0,2023-07-05 12:08:42,4.8.2,,,100.0,"Library to read, analyze, transform and generate Scala programs.",113.0,23,True,2.0,,,,,,,,
43,airframe,wvlet/airframe,di,https://github.com/wvlet/airframe,https://github.com/wvlet/airframe,Apache-2.0,2016-08-14 07:00:12,2023-07-06 01:15:00,2023-07-06 01:14:58,4032.0,206.0,59.0,22.0,2488.0,94.0,466.0,607.0,2023-07-05 22:31:49,23.7.1,,,100.0,Essential Building Blocks for Scala.,43.0,23,True,1.0,,,,,,,,
44,nussknacker,touk/nussknacker,bigdata,https://github.com/TouK/nussknacker,https://github.com/TouK/nussknacker,Apache-2.0,2017-06-29 14:09:57,2023-07-06 16:11:43,2023-07-06 14:25:04,5316.0,198.0,84.0,30.0,4022.0,66.0,372.0,445.0,2023-06-29 12:41:12,1.10.0,287.0,4.0,34.0,Low-code tool for automating actions on real time data | Stream processing for the users.,62.0,23,True,2.0,,,,,,,,
45,scalding,twitter/scalding,bigdata,https://github.com/twitter/scalding,https://github.com/twitter/scalding,Apache-2.0,2012-01-10 16:22:08,2023-05-28 19:18:59,2023-05-28 19:18:59,4195.0,1.0,701.0,326.0,1384.0,317.0,329.0,3446.0,2017-12-22 20:23:36,0.17.4,,,17.0,A Scala API for Cascading.,212.0,22,True,2.0,,,,,,,,
