,name,github_id,maven_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,maven_url,maven_latest_release_published_at,dependent_project_count,maven_dependent_project_count,show,projectrank_placing,new_addition,trending,github_dependent_project_count,updated_github_id,labels,github_release_downloads,monthly_downloads
24,anorm,playframework/anorm,,db-clients,https://github.com/playframework/anorm,https://github.com/playframework/anorm,Apache-2.0,2014-12-05 03:05:14,2023-03-18 18:51:11,2023-03-12 20:36:41,693,14.0,67,17,475.0,6.0,59.0,226,2022-09-29 14:17:35,2.7.0,3.0,The Anorm database library.,54,17,,,,,True,2,True,,,,['play'],,
25,neotypes,neotypes/neotypes,,db-clients,https://github.com/neotypes/neotypes,https://github.com/neotypes/neotypes,MIT,2018-11-11 19:33:08,2023-03-13 00:55:26,2023-03-10 18:20:11,951,34.0,31,6,554.0,17.0,45.0,152,2023-01-24 18:43:27,0.23.2,13.0,"Scala lightweight, type-safe, asynchronous driver for neo4j.",14,17,,,,,True,2,True,,,,,,
26,zio-redis,zio/zio-redis,,db-clients,https://github.com/zio/zio-redis,https://github.com/zio/zio-redis,Apache-2.0,2020-01-07 16:12:24,2023-03-18 19:46:04,2023-03-18 19:46:04,509,54.0,54,15,667.0,37.0,97.0,94,2023-03-16 14:55:26,0.1.0,1.0,A ZIO-based redis client.,34,17,,,,,True,2,True,,,,['zio'],,
27,couchbase-jvm-clients,couchbase/couchbase-jvm-clients,,db-clients,https://github.com/couchbase/couchbase-jvm-clients,https://github.com/couchbase/couchbase-jvm-clients,Apache-2.0,2018-10-01 16:44:58,2023-03-17 22:08:14,2023-03-17 22:08:13,2270,143.0,32,10,22.0,4.0,,36,,,,"The Couchbase Monorepo for JVM Clients: Java, Scala, io-core.",18,17,,,137.0,,True,2,True,,137.0,,,,
28,rediscala,etaty/rediscala,,db-clients,https://github.com/etaty/rediscala,https://github.com/etaty/rediscala,Apache-2.0,2013-04-15 13:49:16,2021-06-06 04:14:22,2019-10-17 08:36:11,414,,134,39,98.0,74.0,83.0,796,2019-06-23 15:29:14,1.9.0,13.0,"Non-blocking, Reactive Redis driver for Scala (with Sentinel support).",31,16,,,,,False,2,True,,,,,,
29,scala-redis,debasishg/scala-redis,,db-clients,https://github.com/debasishg/scala-redis,https://github.com/debasishg/scala-redis,,2009-12-31 06:31:15,2023-01-25 21:39:14,2021-12-19 15:12:11,485,,222,62,150.0,76.0,82.0,1022,2021-11-02 15:19:32,3.42,11.0,"A scala library for connecting to a redis server, or a cluster of redis nodes using consistent hashing on the client..",72,15,,,,,False,3,True,,,,,,
30,scala-activerecord,aselab/scala-activerecord,,db-clients,https://github.com/aselab/scala-activerecord,https://github.com/aselab/scala-activerecord,MIT,2012-04-10 04:26:31,2021-01-08 00:05:38,2021-01-08 00:05:30,513,,31,35,12.0,20.0,62.0,321,2020-10-07 00:17:01,0.6.1,8.0,ActiveRecord-like ORM library for Scala.,9,15,,,,,False,3,True,,,,,,
31,casbah,mongodb/casbah,,db-clients,https://github.com/mongodb/casbah,https://github.com/mongodb/casbah,,2010-10-29 18:39:30,2022-01-20 16:56:00,2022-01-20 16:55:58,1108,,133,59,64.0,7.0,,526,,,,Casbah is now officially end-of-life (EOL).,36,14,,,,,False,3,True,,,,,,
32,laserdisc,laserdisc-io/laserdisc,,db-clients,https://github.com/laserdisc-io/laserdisc,https://github.com/laserdisc-io/laserdisc,MIT,2018-06-05 09:07:12,2023-03-04 19:03:04,2023-03-04 19:03:04,627,20.0,14,5,693.0,13.0,11.0,90,2022-11-22 23:17:24,0.6.0,21.0,A Future-free Fs2 native pure FP Redis client.,11,14,,,,,True,3,True,,,,,,
33,finagle-postgres,finagle/finagle-postgres,,db-clients,https://github.com/finagle/finagle-postgres,https://github.com/finagle/finagle-postgres,Apache-2.0,2015-03-10 16:01:08,2023-03-10 15:27:30,2021-06-02 20:15:58,486,,40,10,270.0,15.0,25.0,81,2021-04-23 22:46:03,0.13,16.0,PostgreSQL protocol support for Finagle.,33,14,,,,,True,3,True,,,,,,
34,relate,lucidsoftware/relate,,db-clients,https://github.com/lucidsoftware/relate,https://github.com/lucidsoftware/relate,Apache-2.0,2014-05-19 19:18:32,2022-02-28 19:41:12,2022-02-28 19:41:12,282,,15,44,54.0,12.0,12.0,163,2020-07-22 20:01:31,3.0.0,12.0,Performant database access in Scala.,17,13,,,,,True,3,True,,,,,1281.0,13.0
