,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,maven_id,labels,maven_url,maven_latest_release_published_at,maven_dependent_project_count,trending,updated_github_id
23,eclair,acinq/eclair,others,https://github.com/ACINQ/eclair,https://github.com/ACINQ/eclair,Apache-2.0,2015-08-19 11:47:01,2025-09-11 15:46:17,2025-09-11 15:46:12,2822.0,48.0,271.0,86.0,2282.0,47.0,728.0,1306,2025-09-10 13:32:29,0.13.0,48312.0,473.0,41.0,A scala implementation of the Lightning Network.,,,53.0,26,True,1,,,,,,1.0,
24,tinylog,tinylog-org/tinylog,logging,https://github.com/tinylog-org/tinylog,https://github.com/tinylog-org/tinylog,Apache-2.0,2012-09-13 11:21:42,2025-09-10 14:46:41,2025-09-05 11:40:09,1298.0,12.0,82.0,11.0,576.0,39.0,221.0,758,2024-01-31 20:36:31,2.7.0,76750.0,590.0,83.0,"tinylog is a lightweight logging framework for Java, Kotlin, Scala, and Android.",1779.0,1779.0,23.0,26,True,1,,,,,,,
25,scala-cli,VirtusLab/scala-cli,development-cycle,https://github.com/VirtusLab/scala-cli,https://github.com/VirtusLab/scala-cli,Apache-2.0,2021-05-10 12:29:24,2025-09-09 10:28:32,2025-09-09 10:28:32,4885.0,104.0,149.0,19.0,2690.0,328.0,750.0,614,2025-09-01 13:06:03,1.9.0,2452680.0,50054.0,73.0,"Scala CLI is a command-line tool to interact with the Scala language. It lets you compile, run, test, and package your..",,,100.0,26,True,2,,['scala3'],,,,,
26,Snowplow,snowplow/snowplow,sci,https://github.com/snowplow/snowplow,https://github.com/snowplow/snowplow,Apache-2.0,2012-03-01 13:02:21,2025-06-04 15:51:26,2025-05-28 14:53:40,6753.0,,1194.0,265.0,496.0,59.0,3906.0,6954,2022-01-31 21:28:26,22.01,7482.0,51.0,85.0,The leader in Customer Data Infrastructure.,21.0,21.0,106.0,25,True,2,,,,,,,
27,cats,typelevel/cats,toolkits,https://github.com/typelevel/cats,https://github.com/typelevel/cats,,2015-01-28 20:26:48,2025-09-10 05:21:14,2025-09-10 05:17:37,7131.0,15.0,1226.0,184.0,3507.0,249.0,1002.0,5353,2025-01-20 19:03:39,2.13.0,,,67.0,"Lightweight, modular, and extensible library for functional programming.",20.0,20.0,570.0,25,False,1,,"['scala3', 'scalajs']",,,,,
28,scala-js,scala-js/scala-js,scala-js,https://github.com/scala-js/scala-js,https://github.com/scala-js/scala-js,Apache-2.0,2013-02-18 16:33:55,2025-09-08 12:43:41,2025-09-08 12:43:41,7705.0,82.0,396.0,144.0,2929.0,65.0,2236.0,4659,2025-09-06 17:53:06,1.20.0,,,33.0,"Scala.js, the Scala to JavaScript compiler.",,,106.0,25,True,1,,['scalajs'],,,,,
29,slick,slick/slick,db-clients,https://github.com/slick/slick,https://github.com/slick/slick,BSD-2-Clause,2009-02-20 22:51:53,2025-09-11 10:08:14,2025-09-11 10:08:12,3733.0,127.0,616.0,138.0,1804.0,423.0,977.0,2664,2025-05-16 02:45:30,3.6.1,,,24.0,Slick (Scala Language Integrated Connection Kit) is a modern database query and access library for Scala.,,,211.0,25,True,1,,['scala3'],,,,,
30,ammonite,com-lihaoyi/ammonite,toolkits,https://github.com/com-lihaoyi/Ammonite,https://github.com/com-lihaoyi/Ammonite,MIT,2015-01-13 07:34:38,2025-08-25 02:17:43,2025-04-20 14:08:12,2889.0,,372.0,62.0,826.0,149.0,706.0,2627,2025-02-17 19:04:34,3.0.2,1090233.0,10902.0,100.0,Scala Scripting.,,,147.0,25,True,1,,['scala3'],,,,,
31,http4s,http4s/http4s,http,https://github.com/http4s/http4s,https://github.com/http4s/http4s,Apache-2.0,2012-03-12 04:41:20,2025-09-11 14:03:32,2025-09-11 13:57:46,17873.0,28.0,804.0,74.0,6130.0,346.0,1164.0,2587,2024-12-04 18:16:06,0.23.30,,,100.0,"A minimal, idiomatic Scala interface for HTTP.",,,478.0,25,True,1,,"['scala3', 'scalajs']",,,,,
32,doobie,tpolecat/doobie,db-clients,https://github.com/typelevel/doobie,https://github.com/typelevel/doobie,MIT,2013-11-25 07:25:20,2025-09-02 09:01:14,2025-09-02 09:01:14,3963.0,44.0,366.0,65.0,1709.0,124.0,458.0,2197,2025-07-13 20:56:56,1.0.0-RC10,,,24.0,Functional JDBC layer for Scala.,,,191.0,25,True,1,,['scala3'],,,,,typelevel/doobie
33,sttp,softwaremill/sttp,http,https://github.com/softwaremill/sttp,https://github.com/softwaremill/sttp,Apache-2.0,2017-06-30 15:15:07,2025-09-11 00:44:27,2025-09-11 00:44:26,6161.0,74.0,322.0,37.0,2191.0,19.0,451.0,1487,2025-09-05 07:23:31,4.0.10,,,100.0,The Scala HTTP client you always wanted!.,,,230.0,25,True,1,,"['scala3', 'scalajs']",,,,,
34,scalikejdbc,scalikejdbc/scalikejdbc,db-clients,https://github.com/scalikejdbc/scalikejdbc,https://github.com/scalikejdbc/scalikejdbc,Apache-2.0,2011-11-18 06:56:36,2025-09-10 22:56:47,2025-09-10 22:56:47,3499.0,35.0,231.0,58.0,2057.0,33.0,460.0,1274,2025-08-16 13:29:27,4.3.5,,,55.0,A tidy SQL-based DB access library for Scala developers. This library naturally wraps JDBC APIs and provides you easy-..,27.0,,115.0,25,True,1,org.scalikejdbc:scalikejdbc_2.13,['scala3'],https://search.maven.org/artifact/org.scalikejdbc/scalikejdbc_2.13,2025-08-16 13:19:16,27.0,,
35,fs2,typelevel/fs2,reactive,https://github.com/typelevel/fs2,https://github.com/typelevel/fs2,,2013-03-06 17:34:15,2025-09-09 11:08:52,2025-09-09 11:06:12,10196.0,70.0,618.0,83.0,2823.0,120.0,672.0,2416,2025-09-04 18:00:50,3.12.2,,,100.0,"Compositional, streaming I/O library for Scala.",,,331.0,24,False,1,,"['scala3', 'scalajs']",,,,,
36,quill,zio/zio-quill,db-clients,https://github.com/zio/zio-quill,https://github.com/zio/zio-quill,Apache-2.0,2015-07-20 22:15:04,2025-09-08 02:19:07,2025-08-06 16:15:40,3708.0,20.0,348.0,59.0,2245.0,304.0,764.0,2163,2025-07-17 13:46:16,4.8.6,,,12.0,Compile-time Language Integrated Queries for Scala.,,,151.0,24,True,1,,"['zio', 'scala3', 'scalajs']",,,,,
37,sbt-native-packager,sbt/sbt-native-packager,sbt,https://github.com/sbt/sbt-native-packager,https://github.com/sbt/sbt-native-packager,Apache-2.0,2011-12-20 02:04:49,2025-08-23 18:57:02,2025-08-23 16:44:55,1793.0,15.0,446.0,53.0,883.0,154.0,675.0,1604,2025-08-23 19:18:14,1.11.3,,,100.0,sbt Native Packager.,,,279.0,24,True,1,,,,,,,
38,sangria,sangria-graphql/sangria,others,https://github.com/sangria-graphql/sangria,https://github.com/sangria-graphql/sangria,Apache-2.0,2015-07-05 21:29:30,2025-08-27 04:40:03,2025-08-27 04:36:11,2383.0,30.0,221.0,61.0,758.0,61.0,413.0,1961,2025-08-09 20:39:08,4.2.11,,,96.0,Scala GraphQL implementation.,,,70.0,23,True,1,,['scala3'],,,,,
39,scalacheck,typelevel/scalacheck,test,https://github.com/typelevel/scalacheck,https://github.com/typelevel/scalacheck,BSD-3-Clause,2011-05-26 11:44:12,2025-09-08 23:47:45,2025-09-07 05:33:23,2242.0,21.0,405.0,56.0,776.0,65.0,293.0,1952,2025-09-06 19:49:36,1.19.0,,,14.0,Property-based testing for Scala.,,,147.0,23,True,1,,"['scala3', 'scalajs']",,,,,
40,spark-testing-base,holdenk/spark-testing-base,test,https://github.com/holdenk/spark-testing-base,https://github.com/holdenk/spark-testing-base,Apache-2.0,2015-01-30 22:23:59,2025-09-03 04:25:30,2025-09-03 04:25:30,811.0,25.0,356.0,74.0,249.0,96.0,120.0,1541,2023-04-25 21:17:13,1.4.3,,,4.0,Base classes to use when writing tests with Spark.,45.0,45.0,61.0,23,True,1,,,,,,,
41,pekko,apache/incubator-pekko,distributed,https://github.com/apache/pekko,https://github.com/apache/pekko,Apache-2.0,2022-10-31 08:40:39,2025-09-11 19:04:39,2025-09-11 19:04:35,27727.0,168.0,171.0,55.0,1614.0,159.0,316.0,1435,,,,,,"Build highly concurrent, distributed, and resilient message-driven applications using Java/Scala.",,,1082.0,23,True,2,,['scala3'],,,,,apache/pekko
42,akka-http,akka/akka-http,http,https://github.com/akka/akka-http,https://github.com/akka/akka-http,,2016-08-19 11:33:36,2025-09-09 09:11:34,2025-09-09 09:11:33,4545.0,13.0,595.0,71.0,2528.0,582.0,1396.0,1339,2025-08-20 15:04:31,10.7.2,,,68.0,The Streaming-first HTTP server/module of Akka.,,,359.0,23,False,2,,['scala3'],,,,,
43,argonaut,argonaut-io/argonaut,json,https://github.com/argonaut-io/argonaut,https://github.com/argonaut-io/argonaut,BSD-3-Clause,2012-12-09 12:11:48,2025-09-08 03:23:52,2025-09-08 03:23:51,1811.0,14.0,108.0,24.0,868.0,28.0,169.0,546,2024-06-01 22:47:08,6.3.10,,,17.0,Purely functional JSON parser and library in scala.,50.0,,66.0,23,True,1,io.argonaut:argonaut_2.13,"['scala3', 'scalajs']",https://search.maven.org/artifact/io.argonaut/argonaut_2.13,2024-06-01 22:47:08,50.0,,
