,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,trending,updated_github_id
10,spark,apache/spark,bigdata,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08,2025-10-16 14:52:02,2025-10-16 14:51:48,45743.0,849.0,28878.0,2019.0,52595.0,214.0,,42101,,,,,,Apache Spark - A unified analytics engine for large-scale data processing.,,,3305.0,28,True,1,,,,,,-1.0,
11,gatling,gatling/gatling,test,https://github.com/gatling/gatling,https://github.com/gatling/gatling,Apache-2.0,2011-05-31 12:40:25,2025-10-12 13:16:53,2025-10-10 16:22:35,11182.0,71.0,1214.0,232.0,849.0,30.0,3768.0,6798,,,,,,Modern Load Testing as Code.,23.0,23.0,243.0,28,True,1,,,,,,,
12,smile,haifengl/smile,sci,https://github.com/haifengl/smile,https://github.com/haifengl/smile,,2014-11-20 16:28:12,2025-10-12 18:43:00,2025-10-12 01:39:35,4950.0,196.0,1147.0,264.0,177.0,6.0,650.0,6273,2025-09-20 15:33:36,4.4.2,13177.0,114.0,35.0,Statistical Machine Intelligence & Learning Engine.,21.0,21.0,72.0,28,False,1,['scala3'],,,,,2.0,
13,http4s,http4s/http4s,http,https://github.com/http4s/http4s,https://github.com/http4s/http4s,Apache-2.0,2012-03-12 04:41:20,2025-10-16 17:27:24,2025-10-16 17:20:44,17916.0,62.0,803.0,73.0,6155.0,347.0,1165.0,2595,2025-09-24 14:33:48,0.23.32,,,100.0,"A minimal, idiomatic Scala interface for HTTP.",,,478.0,27,True,1,"['scala3', 'scalajs']",,,,,,
14,scalameta,scalameta/scalameta,toolkits,https://github.com/scalameta/scalameta,https://github.com/scalameta/scalameta,BSD-3-Clause,2014-06-16 23:00:32,2025-10-16 17:25:58,2025-10-16 17:25:58,9129.0,43.0,233.0,40.0,3036.0,131.0,1161.0,1144,2025-10-13 14:48:19,4.14.0,,,100.0,"Library to read, analyze, transform and generate Scala programs.",3.0,3.0,131.0,27,True,1,['scalajs'],,,,,1.0,
15,bloop,scalacenter/bloop,development-cycle,https://github.com/scalacenter/bloop,https://github.com/scalacenter/bloop,Apache-2.0,2017-11-11 09:39:34,2025-10-14 07:47:32,2025-10-14 07:44:00,6157.0,134.0,206.0,23.0,1965.0,102.0,681.0,930,2025-10-03 11:17:04,2.0.16,245369.0,2638.0,82.0,"Bloop is a build server and CLI tool to compile, test and run Scala fast from any editor or build tool.",,,153.0,27,True,2,['scalajs'],,,,,,
16,finagle,twitter/finagle,distributed,https://github.com/twitter/finagle,https://github.com/twitter/finagle,Apache-2.0,2010-10-19 22:10:09,2025-10-15 13:12:56,2025-10-15 13:12:56,8210.0,2.0,1448.0,552.0,551.0,65.0,357.0,8846,2024-05-07 19:46:22,finagle-24.5.0,,,84.0,"A fault tolerant, protocol-agnostic RPC system.",21.0,21.0,534.0,26,True,2,,,,,,,
17,shapeless,milessabin/shapeless,toolkits,https://github.com/milessabin/shapeless,https://github.com/milessabin/shapeless,Apache-2.0,2011-12-18 13:36:38,2025-10-14 08:15:35,2025-10-14 08:15:35,2779.0,11.0,531.0,98.0,1015.0,29.0,384.0,3402,2025-03-02 21:41:46,2.3.13,,,10.0,Generic programming for Scala.,146.0,146.0,156.0,26,True,1,"['scala3', 'scalajs']",,,,,1.0,
18,ammonite,com-lihaoyi/ammonite,toolkits,https://github.com/com-lihaoyi/Ammonite,https://github.com/com-lihaoyi/Ammonite,MIT,2015-01-13 07:34:38,2025-10-11 12:17:42,2025-10-11 12:17:23,2926.0,37.0,372.0,61.0,844.0,149.0,710.0,2629,2025-10-11 11:12:38,3.0.3,393023.0,3891.0,100.0,Scala Scripting.,,,148.0,26,True,1,['scala3'],,,,,2.0,
19,scio,spotify/scio,bigdata,https://github.com/spotify/scio,https://github.com/spotify/scio,Apache-2.0,2015-03-26 19:07:34,2025-10-06 14:00:10,2025-10-06 13:59:25,5590.0,32.0,523.0,112.0,4469.0,151.0,1178.0,2612,2025-08-27 17:25:09,0.14.19,12079.0,131.0,100.0,A Scala API for Apache Beam and Google Cloud Dataflow.,,,259.0,26,True,2,,,,,,,
20,metals,scalameta/metals,development-cycle,https://github.com/scalameta/metals,https://github.com/scalameta/metals,Apache-2.0,2017-11-03 14:18:53,2025-10-16 14:29:34,2025-10-16 14:16:17,9759.0,177.0,391.0,45.0,5359.0,289.0,1961.0,2248,2025-10-16 14:37:25,1.6.3,31.0,0.0,76.0,Scala language server with rich IDE features.,,,238.0,26,True,2,['scala3'],,,,,,
21,elastic4s,sksamuel/elastic4s,db-clients,https://github.com/Philippus/elastic4s,https://github.com/Philippus/elastic4s,Apache-2.0,2013-06-10 20:23:57,2025-10-15 20:33:49,2025-10-15 19:53:25,5220.0,53.0,681.0,72.0,2492.0,11.0,1169.0,1637,2025-07-31 21:15:32,9.1.0,,,68.0,"Elasticsearch Scala Client - Reactive, Non Blocking, Type Safe, HTTP Client.",,,421.0,26,True,1,['scala3'],com.sksamuel.elastic4s:elastic4s_2.13,https://search.maven.org/artifact/com.sksamuel.elastic4s/elastic4s_2.13,,,,Philippus/elastic4s
22,tapir,softwaremill/tapir,http,https://github.com/softwaremill/tapir,https://github.com/softwaremill/tapir,Apache-2.0,2018-12-09 16:43:49,2025-10-16 00:14:50,2025-10-15 00:55:26,9822.0,122.0,451.0,40.0,3913.0,185.0,800.0,1436,2025-10-10 16:55:47,1.11.49,,,100.0,Rapid development of self-documenting APIs.,,,338.0,26,True,1,"['scala3', 'scalajs']",,,,,,
23,scalapb,scalapb/scalapb,data,https://github.com/scalapb/ScalaPB,https://github.com/scalapb/ScalaPB,Apache-2.0,2014-10-02 01:11:41,2025-10-15 20:29:41,2025-10-15 20:23:01,2708.0,27.0,291.0,41.0,1381.0,52.0,590.0,1328,2025-10-09 05:51:37,1.0.0-alpha.3,621468.0,5918.0,100.0,Protocol buffer compiler for Scala.,,,135.0,26,True,1,"['scala3', 'scalajs']",,,,,,
24,eclair,acinq/eclair,others,https://github.com/ACINQ/eclair,https://github.com/ACINQ/eclair,Apache-2.0,2015-08-19 11:47:01,2025-10-16 15:52:46,2025-10-15 15:35:16,2843.0,51.0,271.0,85.0,2304.0,47.0,728.0,1311,2025-09-10 13:32:29,0.13.0,48493.0,470.0,41.0,A scala implementation of the Lightning Network.,,,53.0,26,True,1,,,,,,,
25,scalikejdbc,scalikejdbc/scalikejdbc,db-clients,https://github.com/scalikejdbc/scalikejdbc,https://github.com/scalikejdbc/scalikejdbc,Apache-2.0,2011-11-18 06:56:36,2025-10-15 11:35:09,2025-10-15 11:35:08,3516.0,44.0,230.0,57.0,2087.0,34.0,460.0,1276,2025-08-16 13:29:27,4.3.5,,,55.0,A tidy SQL-based DB access library for Scala developers. This library naturally wraps JDBC APIs and provides you easy-..,27.0,,120.0,26,True,1,['scala3'],org.scalikejdbc:scalikejdbc_2.13,https://search.maven.org/artifact/org.scalikejdbc/scalikejdbc_2.13,2025-08-16 13:19:16,27.0,1.0,
26,tinylog,tinylog-org/tinylog,logging,https://github.com/tinylog-org/tinylog,https://github.com/tinylog-org/tinylog,Apache-2.0,2012-09-13 11:21:42,2025-10-15 13:04:23,2025-10-14 09:12:42,1313.0,20.0,82.0,11.0,600.0,39.0,224.0,764,2024-01-31 20:36:31,2.7.0,81614.0,623.0,83.0,"tinylog is a lightweight logging framework for Java, Kotlin, Scala, and Android.",1784.0,1784.0,23.0,26,True,1,,,,,,,
27,scala-cli,VirtusLab/scala-cli,development-cycle,https://github.com/VirtusLab/scala-cli,https://github.com/VirtusLab/scala-cli,Apache-2.0,2021-05-10 12:29:24,2025-10-16 12:52:38,2025-10-16 12:52:38,4925.0,98.0,149.0,18.0,2723.0,335.0,755.0,615,2025-09-17 12:05:48,1.9.1,2561644.0,51232.0,74.0,"Scala CLI is a command-line tool to interact with the Scala language. It lets you compile, run, test, and package your..",,,101.0,26,True,2,['scala3'],,,,,,
28,bigdl,intel-analytics/bigdl,sci,https://github.com/intel/ipex-llm,https://github.com/intel/ipex-llm,Apache-2.0,2016-08-29 07:59:50,2025-10-14 06:04:12,2025-10-14 06:04:12,4112.0,9.0,1342.0,263.0,10284.0,1209.0,1802.0,8386,2025-04-09 06:51:51,0.1.0-mas,708.0,7.0,22.0,"Accelerate local LLM inference and finetuning (LLaMA, Mistral, ChatGLM, Qwen, DeepSeek, Mixtral, Gemma, Phi, MiniCPM,..",,,120.0,25,True,1,,,,,,-1.0,intel/ipex-llm
29,Snowplow,snowplow/snowplow,sci,https://github.com/snowplow/snowplow,https://github.com/snowplow/snowplow,Apache-2.0,2012-03-01 13:02:21,2025-06-04 15:51:26,2025-05-28 14:53:40,6753.0,,1194.0,265.0,496.0,59.0,3906.0,6963,2022-01-31 21:28:26,22.01,7486.0,50.0,85.0,The leader in Customer Data Infrastructure.,21.0,21.0,106.0,25,True,1,,,,,,,
30,cats,typelevel/cats,toolkits,https://github.com/typelevel/cats,https://github.com/typelevel/cats,,2015-01-28 20:26:48,2025-10-10 15:53:15,2025-10-10 15:48:19,7140.0,22.0,1226.0,182.0,3516.0,249.0,1002.0,5370,2025-01-20 19:03:39,2.13.0,,,67.0,"Lightweight, modular, and extensible library for functional programming.",20.0,20.0,570.0,25,False,2,"['scala3', 'scalajs']",,,,,,
31,scala-js,scala-js/scala-js,scala-js,https://github.com/scala-js/scala-js,https://github.com/scala-js/scala-js,Apache-2.0,2013-02-18 16:33:55,2025-10-16 12:48:14,2025-10-16 12:48:14,7720.0,66.0,398.0,143.0,2936.0,59.0,2238.0,4670,2025-09-06 17:53:06,1.20.0,,,33.0,"Scala.js, the Scala to JavaScript compiler.",,,107.0,25,True,1,['scalajs'],,,,,,
32,slick,slick/slick,db-clients,https://github.com/slick/slick,https://github.com/slick/slick,BSD-2-Clause,2009-02-20 22:51:53,2025-10-15 20:58:43,2025-10-15 20:58:38,3747.0,54.0,616.0,137.0,1826.0,423.0,977.0,2667,2025-05-16 02:45:30,3.6.1,,,24.0,Slick (Scala Language Integrated Connection Kit) is a modern database query and access library for Scala.,,,211.0,25,True,1,['scala3'],,,,,,
33,doobie,tpolecat/doobie,db-clients,https://github.com/typelevel/doobie,https://github.com/typelevel/doobie,MIT,2013-11-25 07:25:20,2025-10-14 09:10:05,2025-10-14 09:10:05,4007.0,65.0,368.0,64.0,1729.0,127.0,458.0,2203,2025-07-13 20:56:56,1.0.0-RC10,,,24.0,Functional JDBC layer for Scala.,,,193.0,25,True,1,['scala3'],,,,,,typelevel/doobie
34,sttp,softwaremill/sttp,http,https://github.com/softwaremill/sttp,https://github.com/softwaremill/sttp,Apache-2.0,2017-06-30 15:15:07,2025-10-15 00:36:32,2025-10-14 00:45:03,6187.0,64.0,326.0,36.0,2225.0,20.0,454.0,1488,2025-09-30 12:05:18,4.0.12,,,100.0,The Scala HTTP client you always wanted!.,,,231.0,25,True,2,"['scala3', 'scalajs']",,,,,,
35,fs2,typelevel/fs2,reactive,https://github.com/typelevel/fs2,https://github.com/typelevel/fs2,,2013-03-06 17:34:15,2025-10-10 00:50:06,2025-10-03 12:15:28,10229.0,90.0,618.0,82.0,2839.0,124.0,675.0,2425,2025-10-02 19:24:06,2.5.13,,,100.0,"Compositional, streaming I/O library for Scala.",,,333.0,24,False,1,"['scala3', 'scalajs']",,,,,,
36,sangria,sangria-graphql/sangria,others,https://github.com/sangria-graphql/sangria,https://github.com/sangria-graphql/sangria,Apache-2.0,2015-07-05 21:29:30,2025-10-16 08:44:17,2025-10-16 08:29:43,2418.0,57.0,221.0,60.0,773.0,61.0,413.0,1961,2025-10-16 09:08:01,4.2.14,,,99.0,Scala GraphQL implementation.,,,70.0,24,True,1,['scala3'],,,,,,
37,giter8,foundweekends/giter8,development-cycle,https://github.com/foundweekends/giter8,https://github.com/foundweekends/giter8,Apache-2.0,2010-08-10 04:08:48,2025-10-13 15:13:45,2025-10-13 15:13:44,1508.0,61.0,225.0,67.0,727.0,48.0,233.0,1753,2025-09-25 02:57:53,0.18.0,,,20.0,a command line tool to apply templates defined on GitHub.,,,85.0,24,True,2,,,,,,,
38,sbt-native-packager,sbt/sbt-native-packager,sbt,https://github.com/sbt/sbt-native-packager,https://github.com/sbt/sbt-native-packager,Apache-2.0,2011-12-20 02:04:49,2025-09-30 18:50:22,2025-09-30 18:44:38,1802.0,20.0,446.0,52.0,887.0,154.0,675.0,1605,2025-09-30 19:07:16,1.11.4,,,100.0,sbt Native Packager.,,,279.0,24,True,1,,,,,,,
39,pekko,apache/incubator-pekko,distributed,https://github.com/apache/pekko,https://github.com/apache/pekko,Apache-2.0,2022-10-31 08:40:39,2025-10-14 00:17:31,2025-10-12 02:03:52,27806.0,216.0,173.0,52.0,1715.0,162.0,334.0,1462,,,,,,"Build highly concurrent, distributed, and resilient message-driven applications using Java/Scala.",,,1083.0,24,True,2,['scala3'],,,,,,apache/pekko
40,quill,zio/zio-quill,db-clients,https://github.com/zio/zio-quill,https://github.com/zio/zio-quill,Apache-2.0,2015-07-20 22:15:04,2025-10-15 00:16:31,2025-08-06 16:15:40,3708.0,8.0,349.0,58.0,2258.0,338.0,764.0,2166,2025-07-17 13:46:16,4.8.6,,,12.0,Compile-time Language Integrated Queries for Scala.,,,151.0,23,True,1,"['zio', 'scala3', 'scalajs']",,,,,-1.0,
41,scalacheck,typelevel/scalacheck,test,https://github.com/typelevel/scalacheck,https://github.com/typelevel/scalacheck,BSD-3-Clause,2011-05-26 11:44:12,2025-10-15 18:08:10,2025-10-15 18:08:08,2251.0,22.0,403.0,55.0,782.0,63.0,293.0,1952,2025-09-06 19:49:36,1.19.0,,,14.0,Property-based testing for Scala.,,,147.0,23,True,1,"['scala3', 'scalajs']",,,,,,
42,refined,fthomas/refined,toolkits,https://github.com/fthomas/refined,https://github.com/fthomas/refined,MIT,2015-05-10 16:23:16,2025-10-15 16:12:21,2025-10-15 16:12:21,3460.0,43.0,154.0,22.0,1174.0,73.0,149.0,1724,2024-12-27 11:46:38,0.11.3,,,71.0,Refinement types for Scala.,,,79.0,23,True,2,"['scala3', 'scalajs']",,,,,,
43,scalajs-react,japgolly/scalajs-react,scala-js,https://github.com/japgolly/scalajs-react,https://github.com/japgolly/scalajs-react,Apache-2.0,2014-07-03 09:58:42,2025-10-14 05:46:32,2025-10-09 04:12:57,3226.0,15.0,233.0,61.0,585.0,29.0,516.0,1652,2025-09-05 04:43:49,2.1.3,,,67.0,Facebooks React on Scala.JS.,,,82.0,23,True,2,"['scala3', 'scalajs']",,,,,,
44,spark-testing-base,holdenk/spark-testing-base,test,https://github.com/holdenk/spark-testing-base,https://github.com/holdenk/spark-testing-base,Apache-2.0,2015-01-30 22:23:59,2025-09-03 04:25:30,2025-09-03 04:25:30,811.0,25.0,356.0,73.0,250.0,96.0,120.0,1545,2023-04-25 21:17:13,1.4.3,,,4.0,Base classes to use when writing tests with Spark.,45.0,45.0,61.0,23,True,1,,,,,,,
45,akka-http,akka/akka-http,http,https://github.com/akka/akka-http,https://github.com/akka/akka-http,,2016-08-19 11:33:36,2025-10-02 06:21:06,2025-10-02 06:21:05,4547.0,10.0,594.0,70.0,2530.0,582.0,1396.0,1343,2025-08-20 15:04:31,10.7.2,,,68.0,The Streaming-first HTTP server/module of Akka.,,,359.0,23,False,2,['scala3'],,,,,,
46,argonaut,argonaut-io/argonaut,json,https://github.com/argonaut-io/argonaut,https://github.com/argonaut-io/argonaut,BSD-3-Clause,2012-12-09 12:11:48,2025-10-15 00:56:36,2025-10-15 00:56:34,1818.0,18.0,108.0,24.0,880.0,28.0,169.0,546,2024-06-01 22:47:08,6.3.10,,,17.0,Purely functional JSON parser and library in scala.,50.0,,66.0,23,True,1,"['scala3', 'scalajs']",io.argonaut:argonaut_2.13,https://search.maven.org/artifact/io.argonaut/argonaut_2.13,2024-06-01 22:47:08,50.0,,
47,zeppelin,apache/zeppelin,sci,https://github.com/apache/zeppelin,https://github.com/apache/zeppelin,Apache-2.0,2015-03-25 07:00:06,2025-10-15 12:56:23,2025-10-15 12:55:56,5582.0,89.0,2830.0,303.0,5105.0,206.0,,6569,,,,,,"Web-based notebook that enables data-driven, interactive data analytics and collaborative documents with SQL, Scala..",,,576.0,22,True,2,,,,,,,
48,scalding,twitter/scalding,bigdata,https://github.com/twitter/scalding,https://github.com/twitter/scalding,Apache-2.0,2012-01-10 16:22:08,2023-05-28 19:18:59,2023-05-28 19:18:59,4195.0,,708.0,316.0,1384.0,316.0,329.0,3522,2017-12-22 20:23:36,0.17.4,,,17.0,A Scala API for Cascading.,,,213.0,22,False,2,,,,,,,
49,algebird,twitter/algebird,sci,https://github.com/twitter/algebird,https://github.com/twitter/algebird,Apache-2.0,2012-08-02 17:24:42,2025-08-21 04:49:58,2024-02-24 18:39:07,1905.0,,347.0,227.0,990.0,111.0,172.0,2297,2023-07-10 21:51:16,0.13.10,,,30.0,Abstract Algebra for Scala.,,,116.0,22,False,2,,,,,,,
50,Monocle,optics-dev/monocle,toolkits,https://github.com/optics-dev/Monocle,https://github.com/optics-dev/Monocle,MIT,2014-01-17 19:49:22,2025-10-15 20:07:51,2025-10-15 20:07:51,2280.0,19.0,206.0,52.0,1156.0,51.0,334.0,1684,2024-08-09 09:12:26,3.3.0,,,10.0,Optics library for Scala.,,,126.0,22,True,2,"['scala3', 'scalajs']",,,,,,
51,finch,finagle/finch,http,https://github.com/finagle/finch,https://github.com/finagle/finch,Apache-2.0,2014-04-15 12:17:44,2025-09-14 13:16:16,2025-09-14 13:16:15,2432.0,10.0,221.0,57.0,1386.0,46.0,368.0,1605,2022-09-16 18:19:38,0.34.0,,,61.0,Scala combinator library for building Finagle HTTP services.,,,128.0,22,True,2,,,,,,,
52,scalatest,scalatest/scalatest,test,https://github.com/scalatest/scalatest,https://github.com/scalatest/scalatest,Apache-2.0,2013-04-07 21:55:49,2025-10-08 01:02:02,2025-10-07 14:54:41,7642.0,120.0,337.0,52.0,1606.0,527.0,345.0,1167,2024-06-26 00:41:22,release-3.2.19,,,41.0,A testing tool for Scala and Java developers.,,,69.0,22,True,2,"['scala3', 'scalajs']",,,,,,
53,scrimage,sksamuel/scrimage,media,https://github.com/sksamuel/scrimage,https://github.com/sksamuel/scrimage,Apache-2.0,2013-06-03 16:40:25,2025-09-21 04:34:17,2025-09-21 04:33:51,1369.0,39.0,143.0,42.0,101.0,9.0,209.0,1140,2025-09-21 04:33:07,4.3.5,,,41.0,"JVM - Java, Kotlin, Scala image processing library.",,,61.0,22,True,1,,,,,,,
54,wartremover,wartremover/wartremover,development-cycle,https://github.com/wartremover/wartremover,https://github.com/wartremover/wartremover,Apache-2.0,2013-01-05 11:29:26,2025-10-16 00:41:24,2025-10-16 00:41:23,1658.0,69.0,114.0,30.0,1105.0,106.0,250.0,1104,2020-02-25 04:42:44,2.4.5,748.0,6.0,27.0,Flexible Scala code linting tool.,,,90.0,22,True,3,['scala3'],,,,,,
55,scalafix,scalacenter/scalafix,development-cycle,https://github.com/scalacenter/scalafix,https://github.com/scalacenter/scalafix,BSD-3-Clause,2016-08-08 11:45:19,2025-10-16 00:19:09,2025-10-15 21:40:43,4117.0,58.0,187.0,26.0,1585.0,75.0,644.0,861,2025-10-09 20:30:28,0.14.4,39.0,0.0,77.0,Refactoring and linting tool for Scala.,,,114.0,22,True,3,['scalajs'],,,,,,
56,scalaxb,eed3si9n/scalaxb,http,https://github.com/eed3si9n/scalaxb,https://github.com/eed3si9n/scalaxb,MIT,2010-02-05 05:50:50,2025-10-11 08:28:14,2025-10-11 08:28:14,1410.0,25.0,160.0,21.0,253.0,162.0,292.0,340,2025-10-11 05:59:32,1.12.4,,,25.0,scalaxb is an XML data binding tool for Scala.,,,72.0,22,True,2,,,,,,,
57,spark-notebook,spark-notebook/spark-notebook,sci,https://github.com/spark-notebook/spark-notebook,https://github.com/spark-notebook/spark-notebook,Apache-2.0,2014-09-05 19:35:25,2023-05-16 16:06:37,2021-03-30 08:57:25,2326.0,,654.0,186.0,484.0,208.0,307.0,3151,2017-07-23 14:44:02,0.8.3,,,18.0,Interactive and Reactive Data Science using Scala and Spark.,,,84.0,21,False,2,,,,,,,
58,util,twitter/util,toolkits,https://github.com/twitter/util,https://github.com/twitter/util,Apache-2.0,2011-03-26 01:23:21,2025-10-15 23:12:16,2025-10-15 23:12:15,3153.0,4.0,581.0,224.0,199.0,13.0,111.0,2721,2022-12-26 14:38:56,util-22.12.0,,,81.0,Wonderful reusable code from Twitter.,,,328.0,21,True,2,['scala3'],,,,,,
59,lagom,lagom/lagom,distributed,https://github.com/lagom/lagom,https://github.com/lagom/lagom,Apache-2.0,2016-02-23 01:51:06,2023-08-14 13:43:48,2023-08-14 13:43:48,2427.0,,634.0,146.0,2275.0,455.0,643.0,2633,2021-12-14 11:16:46,1.6.7,,,49.0,Reactive Microservices for the JVM.,,,149.0,21,False,2,,,,,,,
60,spray-json,spray/spray-json,json,https://github.com/spray/spray-json,https://github.com/spray/spray-json,Apache-2.0,2011-05-06 21:31:38,2024-01-10 20:17:55,2021-12-09 19:21:31,331.0,,561.0,35.0,156.0,101.0,116.0,2498,2020-11-11 13:05:44,1.3.6,,,3.0,"A lightweight, clean and simple JSON implementation in Scala.",155.0,,48.0,21,False,2,,io.spray:spray-json_2.13,https://search.maven.org/artifact/io.spray/spray-json_2.13,2020-11-10 13:18:28,155.0,,
61,finatra,twitter/finatra,web-frameworks,https://github.com/twitter/finatra,https://github.com/twitter/finatra,Apache-2.0,2012-02-16 23:55:29,2025-08-18 21:11:27,2025-08-18 21:11:27,2661.0,1.0,407.0,210.0,270.0,19.0,309.0,2270,2022-12-26 14:40:15,finatra-22.12.0,,,92.0,"Fast, testable, Scala services built on TwitterServer and Finagle.",,,260.0,21,True,1,,,,,,,
62,sbt-assembly,sbt/sbt-assembly,sbt,https://github.com/sbt/sbt-assembly,https://github.com/sbt/sbt-assembly,MIT,2011-06-10 05:30:27,2025-09-29 16:53:23,2025-09-29 16:53:23,701.0,17.0,226.0,48.0,200.0,110.0,259.0,1960,2025-01-20 01:16:48,2.3.1,,,23.0,Deploy ber-JARs. Restart processes. (port of codahale/assembly-sbt).,,,85.0,21,True,1,,,,,,,
63,spire,typelevel/spire,sci,https://github.com/typelevel/spire,https://github.com/typelevel/spire,MIT,2011-11-03 20:52:53,2025-10-10 01:09:12,2025-06-07 03:09:28,2999.0,,244.0,63.0,975.0,158.0,272.0,1775,2022-06-17 15:55:07,0.18.0,,,4.0,Powerful new number types and numeric abstractions for Scala.,,,106.0,21,True,2,"['scala3', 'scalajs']",,,,,,
