,name,github_id,maven_id,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,maven_url,maven_latest_release_published_at,maven_dependent_project_count,show,projectrank_placing,github_release_downloads,monthly_downloads,trending
24,shapeless,milessabin/shapeless,,toolkits,"['scala3', 'scalajs']",https://github.com/milessabin/shapeless,https://github.com/milessabin/shapeless,Apache-2.0,2011-12-18 13:36:38,2023-11-07 13:16:22,2023-11-07 13:16:22,2702.0,8.0,538.0,104.0,927.0,34.0,381.0,3344,2022-09-12 22:32:36,2.3.10,7.0,Generic programming for Scala.,115.0,115.0,154.0,25,,,,True,1,,,-1.0
25,doobie,tpolecat/doobie,,db-clients,['scala3'],https://github.com/tpolecat/doobie,https://github.com/tpolecat/doobie,MIT,2013-11-25 07:25:20,2023-12-05 21:24:48,2023-12-04 09:53:57,3415.0,70.0,352.0,67.0,1416.0,147.0,390.0,2100,2023-11-19 20:22:28,1.0.0-RC5,19.0,Functional JDBC layer for Scala.,,,170.0,25,,,,True,1,,,
26,elastic4s,sksamuel/elastic4s,com.sksamuel.elastic4s:elastic4s_2.13,db-clients,['scala3'],https://github.com/sksamuel/elastic4s,https://github.com/sksamuel/elastic4s,Apache-2.0,2013-06-10 20:23:57,2023-12-03 19:48:54,2023-11-30 01:53:39,4753.0,31.0,692.0,75.0,1822.0,21.0,1125.0,1627,2023-11-30 02:03:04,8.11.2,43.0,"Elasticsearch Scala Client - Reactive, Non Blocking, Type Safe, HTTP Client.",,,406.0,25,https://search.maven.org/artifact/com.sksamuel.elastic4s/elastic4s_2.13,,,True,1,,,
27,sttp,softwaremill/sttp,,http,"['scala3', 'scalajs']",https://github.com/softwaremill/sttp,https://github.com/softwaremill/sttp,Apache-2.0,2017-06-30 15:15:07,2023-12-06 00:38:48,2023-12-06 00:38:27,5487.0,135.0,283.0,41.0,1608.0,62.0,360.0,1393,2023-12-04 10:40:45,4.0.0-M8,99.0,The Scala HTTP client you always wanted!.,,,201.0,25,,,,True,2,,,
28,scalikejdbc,scalikejdbc/scalikejdbc,org.scalikejdbc:scalikejdbc_2.13,db-clients,['scala3'],https://github.com/scalikejdbc/scalikejdbc,https://github.com/scalikejdbc/scalikejdbc,Apache-2.0,2011-11-18 06:56:36,2023-12-07 11:38:27,2023-12-03 07:52:18,3269.0,34.0,225.0,59.0,1636.0,33.0,452.0,1249,2023-10-20 09:51:04,4.1.0,47.0,A tidy SQL-based DB access library for Scala developers. This library naturally wraps JDBC APIs and provides you easy-..,14.0,,104.0,25,https://search.maven.org/artifact/org.scalikejdbc/scalikejdbc_2.13,2023-10-20 09:32:40,14.0,True,1,,,
29,tinylog,tinylog-org/tinylog,,logging,,https://github.com/tinylog-org/tinylog,https://github.com/tinylog-org/tinylog,Apache-2.0,2012-09-13 11:21:42,2023-12-07 06:41:23,2023-12-04 14:44:26,1202.0,28.0,75.0,13.0,393.0,25.0,211.0,635,2023-05-13 21:12:43,2.6.2,79.0,"tinylog is a lightweight logging framework for Java, Kotlin, Scala, and Android.",1271.0,1271.0,20.0,25,,,,True,1,30051.0,275.0,
30,smile,haifengl/smile,,sci,['scala3'],https://github.com/haifengl/smile,https://github.com/haifengl/smile,,2014-11-20 16:28:12,2023-11-01 02:30:38,2023-10-31 02:50:37,3139.0,3.0,1119.0,275.0,174.0,12.0,567.0,5852,2023-06-14 12:20:00,3.0.2,25.0,Statistical Machine Intelligence & Learning Engine.,21.0,21.0,70.0,24,,,,False,2,10977.0,118.0,-1.0
31,scala-js,scala-js/scala-js,,scala-js,['scalajs'],https://github.com/scala-js/scala-js,https://github.com/scala-js/scala-js,Apache-2.0,2013-02-18 16:33:55,2023-12-04 16:42:00,2023-12-04 16:42:00,7157.0,24.0,431.0,146.0,2693.0,29.0,2173.0,4493,2023-09-27 07:34:32,1.14.0,24.0,"Scala.js, the Scala to JavaScript compiler.",,,102.0,24,,,,True,1,,,
32,slick,slick/slick,,db-clients,['scala3'],https://github.com/slick/slick,https://github.com/slick/slick,BSD-2-Clause,2009-02-20 22:51:53,2023-12-06 17:48:48,2023-12-06 17:48:30,3325.0,52.0,617.0,147.0,1465.0,429.0,944.0,2622,2022-09-13 19:27:07,3.4.1,18.0,Slick (Scala Language Integrated Connection Kit) is a modern database query and access library for Scala.,,,202.0,24,,,,True,1,,,
33,fs2,typelevel/fs2,,reactive,"['scala3', 'scalajs']",https://github.com/typelevel/fs2,https://github.com/typelevel/fs2,,2013-03-06 17:34:15,2023-12-07 10:18:23,2023-12-06 16:50:49,9442.0,110.0,583.0,91.0,2616.0,93.0,650.0,2284,2023-11-06 13:23:33,3.9.3,100.0,"Compositional, streaming I/O library for Scala.",,,312.0,24,,,,False,1,,,
34,algebird,twitter/algebird,,sci,,https://github.com/twitter/algebird,https://github.com/twitter/algebird,Apache-2.0,2012-08-02 17:24:42,2023-11-30 04:43:15,2023-11-12 11:04:46,1894.0,11.0,348.0,236.0,916.0,97.0,166.0,2269,2023-07-10 21:51:16,0.13.10,30.0,Abstract Algebra for Scala.,,,114.0,24,,,,True,2,,,
35,quill,zio/zio-quill,,db-clients,"['zio', 'scala3', 'scalajs']",https://github.com/zio/zio-quill,https://github.com/zio/zio-quill,Apache-2.0,2015-07-20 22:15:04,2023-12-07 00:11:25,2023-11-27 14:20:36,3507.0,76.0,346.0,63.0,1940.0,302.0,758.0,2134,2023-10-02 08:11:12,4.8.0,6.0,Compile-time Language Integrated Queries for Scala.,,,146.0,24,,,,True,1,,,
36,sangria,sangria-graphql/sangria,,others,['scala3'],https://github.com/sangria-graphql/sangria,https://github.com/sangria-graphql/sangria,Apache-2.0,2015-07-05 21:29:30,2023-11-25 13:10:02,2023-11-25 13:05:46,2106.0,64.0,223.0,62.0,620.0,61.0,403.0,1956,2023-09-12 12:09:14,4.0.2,82.0,Scala GraphQL implementation.,,,65.0,24,,,,True,1,,,
37,eclair,acinq/eclair,,others,,https://github.com/ACINQ/eclair,https://github.com/ACINQ/eclair,Apache-2.0,2015-08-19 11:47:01,2023-12-07 17:34:01,2023-12-06 14:09:11,2572.0,41.0,254.0,90.0,1979.0,43.0,674.0,1186,2023-06-19 08:45:19,0.9.0,37.0,A scala implementation of the Lightning Network.,,,48.0,24,,,,True,1,44018.0,543.0,
38,zeppelin,apache/zeppelin,,sci,,https://github.com/apache/zeppelin,https://github.com/apache/zeppelin,Apache-2.0,2015-03-25 07:00:06,2023-12-06 11:09:17,2023-11-24 12:13:56,5311.0,38.0,2758.0,319.0,4698.0,141.0,,6202,,,,"Web-based notebook that enables data-driven, interactive data analytics and collaborative documents with SQL, Scala..",21.0,21.0,528.0,23,,,,True,2,,,
39,refined,fthomas/refined,,toolkits,"['scala3', 'scalajs']",https://github.com/fthomas/refined,https://github.com/fthomas/refined,MIT,2015-05-10 16:23:16,2023-12-03 17:11:14,2023-12-03 17:11:14,3155.0,50.0,157.0,26.0,1024.0,71.0,149.0,1660,2023-06-16 17:05:18,0.11.0,68.0,Refinement types for Scala.,,,77.0,23,,,,True,2,,,
40,skunk,typelevel/skunk,,db-clients,"['scala3', 'scalajs']",https://github.com/typelevel/skunk,https://github.com/typelevel/skunk,MIT,2018-09-21 06:46:41,2023-12-01 21:12:42,2023-11-23 13:59:35,1809.0,87.0,150.0,32.0,885.0,82.0,63.0,1505,2023-11-23 13:37:55,0.6.2,30.0,A data access library for Scala + Postgres.,,,74.0,23,,,,True,2,,,1.0
41,akka-http,akka/akka-http,,http,['scala3'],https://github.com/akka/akka-http,https://github.com/akka/akka-http,,2016-08-19 11:33:36,2023-12-07 15:07:29,2023-11-09 13:07:21,4420.0,24.0,604.0,73.0,2386.0,573.0,1376.0,1332,2023-10-23 14:31:57,10.6.0,61.0,The Streaming-first HTTP server/module of Akka.,,,354.0,23,,,,False,2,,,
42,scalatest,scalatest/scalatest,,test,"['scala3', 'scalajs']",https://github.com/scalatest/scalatest,https://github.com/scalatest/scalatest,Apache-2.0,2013-04-07 21:55:49,2023-11-03 00:33:33,2023-09-27 14:01:20,6522.0,50.0,337.0,53.0,1536.0,525.0,330.0,1122,2023-09-12 13:02:43,release-3.2.17,39.0,A testing tool for Scala and Java developers.,,,64.0,23,,,,True,1,,,
43,scalameta,scalameta/scalameta,,toolkits,['scalajs'],https://github.com/scalameta/scalameta,https://github.com/scalameta/scalameta,BSD-3-Clause,2014-06-16 23:00:32,2023-12-05 12:26:08,2023-12-05 12:26:03,8029.0,93.0,220.0,39.0,2215.0,143.0,1046.0,1064,2023-11-16 16:39:24,4.8.14,100.0,"Library to read, analyze, transform and generate Scala programs.",2.0,2.0,117.0,23,,,,True,2,,,
