,name,github_id,maven_id,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,maven_url,maven_latest_release_published_at,maven_dependent_project_count,show,projectrank_placing,github_release_downloads,monthly_downloads,trending,updated_github_id
359,codacy-scalameta,codacy/codacy-scalameta,,development-cycle,,https://github.com/codacy/codacy-scalameta,https://github.com/codacy/codacy-scalameta,,2016-06-14 13:54:18,2023-09-19 16:35:07,2023-09-19 16:35:05,179.0,,17.0,16.0,66.0,1.0,,34,,,,Codacy tool for Scalameta.,,,21.0,8,,,,False,3,,,,
360,sbt-json,battermann/sbt-json,,json,,https://github.com/battermann/sbt-json,https://github.com/battermann/sbt-json,MIT,2017-08-16 16:28:39,2018-05-29 20:34:36,2018-05-29 20:33:52,104.0,,4.0,5.0,6.0,1.0,4.0,31,,,,"sbt plugin that generates Scala case classes for easy, statically typed and implicit access of JSON data e.g. from API..",,,3.0,8,,,,False,3,,,,
361,etcd4s,mingchuno/etcd4s,,db-clients,,https://github.com/mingchuno/etcd4s,https://github.com/mingchuno/etcd4s,MIT,2017-11-17 11:26:19,2024-11-30 09:22:52,2022-03-07 09:38:29,84.0,,4.0,3.0,56.0,3.0,1.0,31,,,,Scala etcd client implementing V3 APIs.,,,4.0,8,,,,False,3,,,,
362,scala-xgettext,xitrum-framework/scala-xgettext,,others,,https://github.com/xitrum-framework/scala-xgettext,https://github.com/xitrum-framework/scala-xgettext,MIT,2013-01-04 10:12:48,2021-01-17 01:44:53,2021-01-17 01:43:33,76.0,,11.0,9.0,9.0,3.0,12.0,25,,,,Scala compiler plugin that acts like GNU xgettext command to extract i18n strings in Scala source code files to..,,,8.0,8,,,,False,3,,,,
363,poppet,yakivy/poppet,,distributed,"['scala3', 'scalajs']",https://github.com/yakivy/poppet,https://github.com/yakivy/poppet,MIT,2020-05-12 14:32:28,2024-06-14 14:40:35,2024-06-14 14:40:32,96.0,,2.0,2.0,1.0,,3.0,25,,,,"Minimal, type-safe RPC Scala library.",,,2.0,8,,,,True,3,,,,
364,pos,johnreedlol/pos,,env,,https://github.com/JohnReedLOL/pos,https://github.com/JohnReedLOL/pos,Apache-2.0,2018-09-25 01:19:23,2020-10-27 07:37:05,2020-05-05 16:13:09,69.0,,3.0,3.0,37.0,12.0,3.0,23,,,,Macro based print debugging for Scala code. Locates debug statements in your IDE. Supports logging.,,,4.0,8,,,,False,3,,,,
365,scala2plantuml,bottech/scala2plantuml,,env,,https://github.com/BotTech/scala2plantuml,https://github.com/BotTech/scala2plantuml,MIT,2021-03-03 02:34:35,2024-07-29 10:46:59,2021-03-24 09:23:58,162.0,,6.0,1.0,249.0,10.0,1.0,23,2021-03-09 21:56:07,0.3.0,4.0,Scala2PlantUML generates PlantUML diagrams from Scala code.,,,2.0,8,,,,False,3,,,,
366,scala-phash,poslegm/scala-phash,,media,,https://github.com/poslegm/scala-phash,https://github.com/poslegm/scala-phash,MIT,2017-03-17 05:59:47,2020-07-22 10:26:17,2020-07-22 10:26:09,73.0,,3.0,1.0,3.0,,5.0,20,2019-06-10 22:19:24,1.2.2,5.0,Image comparison by hash codes.,,,3.0,8,,,,False,3,,,,
367,annette,annetteplatform/annette,,distributed,,https://github.com/annetteplatform/annette,https://github.com/annetteplatform/annette,Apache-2.0,2020-09-28 16:48:14,2024-06-21 13:14:48,2024-06-21 13:14:48,407.0,,1.0,3.0,35.0,,12.0,19,2023-07-18 09:19:53,0.5.1,14.0,"Platform to build distributed, scalable, enterprise-wide business applications.",,,2.0,8,,,,True,3,,,,
368,squery,sake92/squery,,db-clients,['scala3'],https://github.com/sake92/squery,https://github.com/sake92/squery,Apache-2.0,2023-02-20 11:25:29,2024-09-21 18:43:32,2024-09-21 18:42:46,146.0,2.0,,4.0,,1.0,8.0,18,2024-09-06 15:19:42,0.6.2,3.0,Simple SQL queries in Scala 3.,,,,8,,,,True,3,,,,
