,name,github_id,maven_id,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,maven_url,maven_latest_release_published_at,maven_dependent_project_count,show,projectrank_placing,trending,github_release_downloads,monthly_downloads,updated_github_id
243,tut,tpolecat/tut,,sbt,,https://github.com/tpolecat/tut,https://github.com/tpolecat/tut,MIT,2013-10-25 21:41:48,2021-04-12 21:20:42,2021-04-12 21:20:42,454.0,,62.0,19.0,150.0,63.0,52.0,596,,,,doc/tutorial generator for scala.,,,38.0,13,,,,False,3,,,,
244,scalameter,scalameter/scalameter,,test,,https://github.com/scalameter/scalameter,https://github.com/scalameter/scalameter,,2012-11-18 20:56:32,2022-08-22 09:03:55,2022-08-22 09:03:55,798.0,,72.0,29.0,130.0,50.0,65.0,505,,,,Microbenchmarking and performance regression testing framework for the JVM platform.,,,49.0,13,,,,False,3,,,,
245,scala-clippy,softwaremill/scala-clippy,,sbt,,https://github.com/softwaremill/scala-clippy,https://github.com/softwaremill/scala-clippy,Apache-2.0,2015-12-19 20:13:21,2019-03-14 17:25:51,2019-03-14 11:17:52,260.0,,20.0,19.0,29.0,14.0,22.0,312,2019-03-14 17:25:51,0.6.1,20.0,Good advice for Scala compiler errors.,,,8.0,13,,,,False,3,,,,
246,banana-rdf,banana-rdf/banana-rdf,,others,['scalajs'],https://github.com/banana-rdf/banana-rdf,https://github.com/banana-rdf/banana-rdf,,2012-04-30 03:02:56,2023-07-11 15:24:27,2021-10-29 02:29:24,1342.0,,72.0,32.0,194.0,100.0,90.0,295,,,,Banana RDF.,,,31.0,13,,,,False,2,,,,
247,op-rabbit,spingo/op-rabbit,,others,,https://github.com/SpinGo/op-rabbit,https://github.com/SpinGo/op-rabbit,,2015-05-11 02:09:44,2021-10-28 21:40:36,2020-03-07 23:06:30,345.0,,74.0,13.0,59.0,37.0,107.0,238,2018-02-03 17:34:07,2.1.0,2.0,The Opinionated RabbitMQ Library for Scala and Akka.,,,38.0,13,,,,False,2,,,,
248,mainargs,com-lihaoyi/mainargs,,others,"['scala3', 'scalajs']",https://github.com/com-lihaoyi/mainargs,https://github.com/com-lihaoyi/mainargs,,2020-11-14 09:00:48,2024-05-25 13:24:58,2024-05-05 09:29:16,180.0,10.0,17.0,7.0,112.0,18.0,13.0,176,2024-04-15 23:30:42,0.7.0,15.0,"A small, convenient, dependency-free library for command-line argument parsing in Scala.",,,10.0,13,,,,False,2,,,,
249,relate,lucidsoftware/relate,,db-clients,,https://github.com/lucidsoftware/relate,https://github.com/lucidsoftware/relate,Apache-2.0,2014-05-19 19:18:32,2023-12-01 07:50:34,2023-11-15 16:49:06,306.0,,16.0,44.0,66.0,12.0,13.0,161,2023-09-28 15:20:32,3.2.0,15.0,Performant database access in Scala.,,,19.0,13,,,,True,3,,1607.0,15.0,
250,scredis,Livestream/scredis,,db-clients,,https://github.com/Livestream/scredis,https://github.com/Livestream/scredis,Apache-2.0,2013-02-27 16:13:18,2018-06-21 20:42:37,2018-06-21 20:42:37,147.0,,17.0,35.0,8.0,1.0,51.0,153,2014-12-16 16:04:30,2.0.6,24.0,"Non-blocking, ultra-fast Scala Redis client built on top of Akka IO, used in production at Livestream.",,,7.0,13,,,,False,3,,,,
251,optimus,vagmcs/optimus,,sci,['scala3'],https://github.com/vagmcs/Optimus,https://github.com/vagmcs/Optimus,LGPL-3.0,2014-12-23 12:23:36,2024-03-13 14:26:05,2022-08-27 20:53:36,279.0,,27.0,8.0,20.0,,21.0,141,2022-08-28 16:54:49,3.4.3,1.0,Optimus is a mathematical programming library for Scala.,,,9.0,13,,,,False,3,,1919.0,91.0,
252,doddle-model,picnicml/doddle-model,,sci,,https://github.com/picnicml/doddle-model,https://github.com/picnicml/doddle-model,Apache-2.0,2018-02-09 13:54:54,2024-05-05 19:30:49,2020-03-27 10:19:20,299.0,,23.0,14.0,147.0,30.0,29.0,140,,,11.0,doddle-model: machine learning in Scala.,,,8.0,13,,,,False,3,,,,
253,onnx-scala,emergentorder/onnx-scala,,sci,"['scala3', 'scalajs']",https://github.com/EmergentOrder/onnx-scala,https://github.com/EmergentOrder/onnx-scala,AGPL-3.0,2018-08-15 00:20:30,2024-05-30 15:33:53,2024-05-30 15:33:45,1457.0,25.0,9.0,8.0,474.0,2.0,9.0,136,2022-12-22 18:12:39,0.17.0,13.0,"An ONNX (Open Neural Network eXchange) API and backend for typeful, functional deep learning and classical machine..",,,4.0,13,,,,True,3,,,,
254,scruid,ing-bank/scruid,,db-clients,,https://github.com/ing-bank/scruid,https://github.com/ing-bank/scruid,Apache-2.0,2017-07-04 07:59:24,2021-07-04 10:22:44,2021-06-07 15:35:59,252.0,,26.0,16.0,77.0,7.0,31.0,115,2021-06-07 15:35:10,2.5.0,15.0,"Scala + Druid: Scruid. A library that allows you to compose queries in Scala, and parse the result back into typesafe..",,,20.0,13,,,,False,3,,,,
255,laserdisc,laserdisc-io/laserdisc,,db-clients,['scalajs'],https://github.com/laserdisc-io/laserdisc,https://github.com/laserdisc-io/laserdisc,MIT,2018-06-05 09:07:12,2024-05-29 22:52:45,2024-05-29 22:23:14,717.0,21.0,14.0,6.0,787.0,14.0,11.0,92,2022-11-22 23:17:24,0.6.0,21.0,A Future-free Fs2 native pure FP Redis client.,,,11.0,13,,,,True,3,,,,
256,finagle-postgres,finagle/finagle-postgres,,db-clients,,https://github.com/finagle/finagle-postgres,https://github.com/finagle/finagle-postgres,Apache-2.0,2015-03-10 16:01:08,2023-09-05 22:07:32,2021-06-02 20:15:58,486.0,,40.0,9.0,287.0,15.0,25.0,81,2021-04-23 22:46:03,0.13,16.0,PostgreSQL protocol support for Finagle.,,,34.0,13,,,,False,3,,,,
257,reactor-scala-extensions,spring-attic/reactor-scala-extensions,,reactive,,https://github.com/spring-attic/reactor-scala-extensions,https://github.com/spring-attic/reactor-scala-extensions,Apache-2.0,2017-04-18 11:51:30,2022-03-01 19:25:25,2022-03-01 19:25:25,1392.0,,16.0,8.0,42.0,,34.0,52,2020-08-10 14:28:32,0.8.0,21.0,A scala extension for Project Reactors Flux and Mono.,,,16.0,13,,,,False,3,,,,
258,spata,fingo/spata,,csv-yaml,['scala3'],https://github.com/fingo/spata,https://github.com/fingo/spata,Apache-2.0,2020-05-29 22:01:35,2024-05-12 09:17:23,2024-05-12 09:17:17,461.0,5.0,8.0,4.0,29.0,,5.0,27,2024-01-01 13:59:13,3.2.0,11.0,"Functional, stream-based CSV processor for Scala.",,,4.0,13,,,,True,2,,,,
259,otavia,otavia-projects/otavia,cc.otavia:otavia-runtime_3,reactive,['scala3'],https://github.com/otavia-projects/otavia,https://github.com/otavia-projects/otavia,Apache-2.0,2022-10-01 15:15:59,2024-05-30 14:47:24,2024-05-30 14:45:15,468.0,22.0,2.0,2.0,,,,25,2024-01-29 13:56:10,0.3.7,6.0,Your shiny new IO & Actor programming model!.,14.0,,1.0,13,https://search.maven.org/artifact/cc.otavia/otavia-runtime_3,2024-01-29 13:49:48,14.0,True,3,,,,
260,otavia-runtime,otavia-projects/otavia,cc.otavia:otavia-runtime_3,di,['scala3'],https://github.com/otavia-projects/otavia,https://github.com/otavia-projects/otavia,Apache-2.0,2022-10-01 15:15:59,2024-05-30 14:47:24,2024-05-30 14:45:15,468.0,22.0,2.0,2.0,,,,25,2024-01-29 13:56:10,0.3.7,6.0,Your shiny new IO & Actor programming model!.,14.0,,1.0,13,https://search.maven.org/artifact/cc.otavia/otavia-runtime_3,2024-01-29 13:49:48,14.0,True,3,,,,
261,scala.rx,lihaoyi/scala.rx,,reactive,['scalajs'],https://github.com/lihaoyi/scala.rx,https://github.com/lihaoyi/scala.rx,,2012-09-26 15:18:46,2023-06-10 18:22:22,2022-02-14 22:51:54,323.0,,82.0,56.0,223.0,25.0,55.0,984,,,,An experimental library for Functional Reactive Programming in Scala.,,,21.0,12,,,,False,3,,,,
262,akka-quartz-scheduler,enragedginger/akka-quartz-scheduler,,others,['scala3'],https://github.com/enragedginger/akka-quartz-scheduler,https://github.com/enragedginger/akka-quartz-scheduler,,2013-04-13 02:48:41,2023-11-27 09:23:13,2022-07-24 14:56:33,191.0,,108.0,28.0,47.0,7.0,69.0,559,,,,Quartz Extension and utilities for cron-style scheduling in Akka.,,,41.0,12,,,,False,3,,,,
263,accord,wix-incubator/accord,,data,['scalajs'],https://github.com/wix-incubator/accord,https://github.com/wix-incubator/accord,,2013-11-13 15:55:53,2022-11-23 10:05:39,2022-11-23 10:05:39,644.0,,54.0,281.0,36.0,24.0,93.0,534,,,,Accord: A sane validation library for Scala.,,,12.0,12,,,,False,3,,,,
264,casbah,mongodb/casbah,,db-clients,,https://github.com/mongodb/casbah,https://github.com/mongodb/casbah,,2010-10-29 18:39:30,2022-01-20 16:56:00,2022-01-20 16:55:58,1108.0,,134.0,63.0,64.0,7.0,,512,,,,Casbah is now officially end-of-life (EOL).,,,36.0,12,,,,False,3,,,,
265,salat,salat/salat,,db-clients,,https://github.com/salat/salat,https://github.com/salat/salat,,2011-01-12 16:54:23,2019-03-03 13:32:54,2019-03-03 13:32:53,877.0,,108.0,55.0,82.0,36.0,97.0,485,,,,Salat is a simple serialization library for case classes.,,,43.0,12,,,,False,3,,,,
