,name,github_id,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,maven_id,dependent_project_count,github_dependent_project_count,maven_url,maven_latest_release_published_at,maven_dependent_project_count,trending,new_addition
42,scalikejdbc,scalikejdbc/scalikejdbc,db-clients,['scala3'],https://github.com/scalikejdbc/scalikejdbc,https://github.com/scalikejdbc/scalikejdbc,Apache-2.0,2011-11-18 06:56:36,2023-08-10 05:02:42,2023-08-08 12:55:32,3222,39.0,225.0,60,1539.0,26.0,449.0,1247,2021-10-31 01:07:09,4.0.0,,,46.0,A tidy SQL-based DB access library for Scala developers. This library naturally wraps JDBC APIs and provides you easy-..,104.0,23,True,1,org.scalikejdbc:scalikejdbc_2.13,7.0,,https://search.maven.org/artifact/org.scalikejdbc/scalikejdbc_2.13,2021-10-31 00:52:48,7.0,,
43,scalatest,scalatest/scalatest,test,"['scala3', 'scalajs']",https://github.com/scalatest/scalatest,https://github.com/scalatest/scalatest,Apache-2.0,2013-04-07 21:55:49,2023-08-09 02:32:35,2023-08-08 00:42:49,6422,49.0,338.0,54,1503.0,512.0,329.0,1109,2023-05-15 13:46:58,release-3.2.16,,,38.0,A testing tool for Scala and Java developers.,64.0,23,True,1,,,,,,,,
44,nussknacker,touk/nussknacker,bigdata,,https://github.com/TouK/nussknacker,https://github.com/TouK/nussknacker,Apache-2.0,2017-06-29 14:09:57,2023-08-10 15:23:00,2023-08-10 13:33:48,5394,210.0,84.0,33,4127.0,67.0,372.0,462,2023-06-29 12:41:12,1.10.0,298.0,4.0,34.0,Low-code tool for automating actions on real time data | Stream processing for the users.,64.0,23,True,2,,,,,,,,
45,zeppelin,apache/zeppelin,sci,,https://github.com/apache/zeppelin,https://github.com/apache/zeppelin,Apache-2.0,2015-03-25 07:00:06,2023-08-08 11:24:49,2023-08-08 07:06:03,5269,28.0,2758.0,321,4637.0,141.0,,6119,,,,,,"Web-based notebook that enables data-driven, interactive data analytics and collaborative documents with SQL, Scala..",524.0,22,True,2,,4.0,4.0,,,,,
46,spire,typelevel/spire,sci,"['scala3', 'scalajs']",https://github.com/typelevel/spire,https://github.com/typelevel/spire,MIT,2011-11-03 20:52:53,2023-08-04 00:26:26,2023-06-27 15:12:29,2970,20.0,247.0,68,871.0,129.0,268.0,1732,2022-06-17 15:55:07,0.18.0,,,4.0,Powerful new number types and numeric abstractions for Scala.,104.0,22,True,2,,,,,,,,
47,Monocle,optics-dev/monocle,toolkits,"['scala3', 'scalajs']",https://github.com/optics-dev/Monocle,https://github.com/optics-dev/Monocle,MIT,2014-01-17 19:49:22,2023-08-05 18:36:55,2023-08-05 18:20:55,2131,23.0,202.0,52,1000.0,45.0,331.0,1598,2023-01-03 14:12:47,3.2.0,,,9.0,Optics library for Scala.,125.0,22,True,2,,,,,,,,
48,finch,finagle/finch,http,,https://github.com/finagle/finch,https://github.com/finagle/finch,Apache-2.0,2014-04-15 12:17:44,2023-08-08 05:01:04,2023-08-08 05:01:03,2277,29.0,226.0,62,1224.0,42.0,368.0,1595,2022-09-16 18:19:38,0.34.0,,,61.0,Scala combinator library for building Finagle HTTP services.,128.0,22,True,2,,,,,,,,
49,sbt-native-packager,sbt/sbt-native-packager,sbt,,https://github.com/sbt/sbt-native-packager,https://github.com/sbt/sbt-native-packager,BSD-2-Clause,2011-12-20 02:04:49,2023-08-06 08:41:44,2023-07-24 08:48:26,1695,3.0,440.0,57,751.0,130.0,651.0,1572,2023-02-20 17:55:37,1.9.16,,,100.0,sbt Native Packager.,270.0,22,True,1,,,,,,,,
50,skunk,typelevel/skunk,db-clients,"['scala3', 'scalajs']",https://github.com/typelevel/skunk,https://github.com/typelevel/skunk,MIT,2018-09-21 06:46:41,2023-08-04 00:25:48,2023-08-01 14:59:37,1625,77.0,143.0,30,808.0,101.0,60.0,1480,2023-05-31 12:01:22,0.6.0,,,26.0,A data access library for Scala + Postgres.,67.0,22,True,2,,,,,,,,
51,spark-testing-base,holdenk/spark-testing-base,test,,https://github.com/holdenk/spark-testing-base,https://github.com/holdenk/spark-testing-base,Apache-2.0,2015-01-30 22:23:59,2023-07-24 16:40:04,2023-05-02 22:49:17,751,,359.0,81,187.0,101.0,118.0,1451,2023-04-25 21:17:13,1.4.3,,,4.0,Base classes to use when writing tests with Spark.,60.0,22,True,2,,35.0,35.0,,,,,
