,name,github_id,maven_id,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,maven_url,maven_latest_release_published_at,maven_dependent_project_count,show,projectrank_placing,trending,github_release_downloads,monthly_downloads
201,pprint,com-lihaoyi/pprint,,others,"['scala3', 'scalajs']",https://github.com/com-lihaoyi/PPrint,https://github.com/com-lihaoyi/PPrint,MIT,2017-05-12 09:10:20,2023-10-24 15:56:16,2023-06-07 20:45:04,150,,35.0,6,83.0,13.0,21.0,205,2022-11-27 12:08:32,0.8.1,9.0,"Pretty-printing value, types and type-signatures in Scala.",,,18.0,15,,,,True,2,,,
202,iteratee,travisbrown/iteratee,,reactive,"['scala3', 'scalajs']",https://github.com/travisbrown/iteratee,https://github.com/travisbrown/iteratee,Apache-2.0,2015-09-09 02:17:38,2023-10-04 04:34:35,2021-10-11 13:01:45,1019,,20.0,6,646.0,11.0,23.0,187,2021-06-09 12:56:34,0.20.0,31.0,Iteratees for Cats.,,,29.0,15,,,,False,2,,,
203,minitest,monix/minitest,,test,"['scala3', 'scalajs']",https://github.com/monix/minitest,https://github.com/monix/minitest,Apache-2.0,2014-12-16 01:17:08,2023-09-26 16:33:13,2021-11-28 09:54:57,394,,36.0,7,166.0,2.0,10.0,178,2021-05-13 19:30:08,2.9.6,13.0,The super light testing library for Scala and Scala.js.,,,23.0,15,,,,False,3,,,
204,sbt-site,sbt/sbt-site,,sbt,,https://github.com/sbt/sbt-site,https://github.com/sbt/sbt-site,,2012-05-16 15:10:10,2023-08-19 18:13:51,2023-05-14 18:47:35,434,,75.0,17,133.0,27.0,53.0,176,2023-05-12 07:21:57,1.5.0,17.0,Site generation for sbt.,,,43.0,15,,,,False,3,,,
205,sbt-unidoc,sbt/sbt-unidoc,,sbt,,https://github.com/sbt/sbt-unidoc,https://github.com/sbt/sbt-unidoc,Apache-2.0,2013-05-16 06:40:23,2023-10-25 10:42:06,2023-10-25 10:42:06,170,5.0,27.0,13,95.0,23.0,35.0,124,2021-10-23 21:22:11,0.5.0,5.0,sbt plugin to create a unified Scaladoc or Javadoc API document across multiple subprojects.,,,23.0,15,,,,True,3,,,
206,rescala,rescala-lang/rescala,,reactive,"['scala3', 'scalajs']",https://github.com/rescala-lang/REScala,https://github.com/rescala-lang/REScala,Apache-2.0,2013-06-07 09:30:17,2023-10-25 22:29:57,2023-10-25 22:29:54,5391,185.0,25.0,13,34.0,,9.0,80,,,,REScala - distributed and reactive programming embedded in OO and FP programs.,,,28.0,15,,,,True,2,,,
207,chronoscala,chronoscala/chronoscala,,toolkits,"['scala3', 'scalajs']",https://github.com/chronoscala/chronoscala,https://github.com/chronoscala/chronoscala,MIT,2016-07-11 17:30:46,2023-10-23 08:58:41,2023-09-30 07:31:26,428,14.0,8.0,48,202.0,2.0,13.0,67,2023-08-19 12:02:11,2.0.9,10.0,A JSR-310 port of nscala_time.,,,10.0,15,,,,True,3,,,
208,couchbase-jvm-clients,couchbase/couchbase-jvm-clients,,db-clients,,https://github.com/couchbase/couchbase-jvm-clients,https://github.com/couchbase/couchbase-jvm-clients,Apache-2.0,2018-10-01 16:44:58,2023-10-26 12:21:37,2023-10-26 12:21:36,2543,118.0,36.0,10,25.0,1.0,,42,,,,"The Couchbase Monorepo for JVM Clients: Java, Scala, io-core.",,,22.0,15,,,,True,3,,,
209,zio-dynamodb,zio/zio-dynamodb,,db-clients,"['zio', 'scala3']",https://github.com/zio/zio-dynamodb,https://github.com/zio/zio-dynamodb,Apache-2.0,2020-05-13 14:54:45,2023-10-26 12:45:15,2023-10-26 07:10:23,221,11.0,13.0,4,254.0,23.0,37.0,36,2023-08-31 07:17:05,0.2.12,16.0,"Simple, type-safe, and efficient access to DynamoDB.",,,12.0,15,,,,True,3,,,
210,scala-redis,debasishg/scala-redis,,db-clients,,https://github.com/debasishg/scala-redis,https://github.com/debasishg/scala-redis,,2009-12-31 06:31:15,2023-01-25 21:39:14,2021-12-19 15:12:11,485,,222.0,61,150.0,76.0,82.0,1023,2021-11-02 15:19:32,3.42,11.0,"A scala library for connecting to a redis server, or a cluster of redis nodes using consistent hashing on the client..",,,72.0,14,,,,False,3,,,
