,name,github_id,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,updated_github_id,trending
264,squid,epfldata/squid,toolkits,,https://github.com/epfldata/squid,https://github.com/epfldata/squid,Apache-2.0,2016-03-08 21:53:00,2024-02-01 08:22:44,2020-11-23 16:20:07,583.0,,14.0,15.0,18.0,17.0,33.0,202.0,,,,,4.0,Squid type-safe metaprogramming and compilation framework for Scala.,6.0,12,False,3.0,,,,,,,,
265,sbt-pgp,sbt/sbt-pgp,sbt,,https://github.com/sbt/sbt-pgp,https://github.com/sbt/sbt-pgp,,2011-09-08 15:58:10,2025-11-25 05:15:00,2025-11-25 05:14:53,392.0,2.0,55.0,6.0,113.0,19.0,97.0,149.0,2024-12-10 14:48:36,2.3.1,,,17.0,PGP plugin for sbt.,36.0,12,False,3.0,,,,,,,,
266,doddle-model,picnicml/doddle-model,sci,,https://github.com/picnicml/doddle-model,https://github.com/picnicml/doddle-model,Apache-2.0,2018-02-09 13:54:54,2024-08-13 01:11:34,2020-03-27 10:19:20,299.0,,23.0,11.0,151.0,34.0,29.0,138.0,,,,,11.0,doddle-model: machine learning in Scala.,8.0,12,False,3.0,,,,,,,,
267,hepek,sake92/hepek,templating,"['scala3', 'scalajs']",https://github.com/sake92/hepek,https://github.com/sake92/hepek,Apache-2.0,2018-02-04 18:22:55,2025-11-05 09:56:44,2025-11-05 09:30:01,547.0,,10.0,4.0,331.0,19.0,28.0,111.0,2025-05-14 09:20:13,0.33.0,,,4.0,Typesafe HTML templates and static site generator in pure Scala.,6.0,12,True,3.0,,,,,,,,
268,scala-jsonapi,scala-jsonapi/scala-jsonapi,json,,https://github.com/scala-jsonapi/scala-jsonapi,https://github.com/scala-jsonapi/scala-jsonapi,MIT,2015-11-09 12:47:14,2018-12-28 12:29:57,2018-06-11 08:54:13,135.0,,24.0,28.0,52.0,16.0,34.0,106.0,,,,,,"Scala support library for integrating the JSON API spec with Spray, Play! or Circe.",21.0,12,False,3.0,,,,,,,,
269,rescala,rescala-lang/rescala,reactive,"['scala3', 'scalajs']",https://github.com/rescala-lang/REScala,https://github.com/rescala-lang/REScala,Apache-2.0,2013-06-07 09:30:17,2025-06-16 13:38:01,2025-06-16 13:37:58,5470.0,,29.0,14.0,37.0,,10.0,96.0,,,,,,REScala - distributed and reactive programming embedded in OO and FP programs.,30.0,12,True,3.0,,,,,,,,
270,osm4scala,simplexspatial/osm4scala,others,,https://github.com/simplexspatial/osm4scala,https://github.com/simplexspatial/osm4scala,MIT,2016-05-17 20:15:23,2026-02-04 22:48:57,2022-09-08 17:18:54,266.0,,19.0,4.0,57.0,35.0,47.0,86.0,2022-09-08 17:30:18,1.0.11,96.0,1.0,9.0,Scala and Spark library focused on reading OpenStreetMap Pbf files.,4.0,12,False,3.0,,,,,,,,
271,enableIf.scala,ThoughtWorksInc/enableIf.scala,toolkits,,https://github.com/ThoughtWorksInc/enableIf.scala,https://github.com/ThoughtWorksInc/enableIf.scala,Apache-2.0,2016-04-13 14:26:48,2024-06-25 04:37:36,2023-07-02 02:55:58,438.0,,4.0,26.0,133.0,8.0,5.0,68.0,2022-04-02 07:19:04,1.1.8,,,3.0,"A library that toggles Scala code at compile-time, like #if in C/C++.",6.0,12,False,3.0,,,,,,,,
272,sharaf,sake92/sharaf,web-frameworks,['scala3'],https://github.com/sake92/sharaf,https://github.com/sake92/sharaf,Apache-2.0,2023-04-06 01:38:35,2026-01-09 15:22:48,2026-01-09 15:22:45,430.0,7.0,2.0,4.0,29.0,8.0,28.0,59.0,2026-01-09 15:29:51,0.16.0,,,12.0,Minimalistic Scala 3 web framework.,2.0,12,True,3.0,,,,,,,,
273,spata,fingo/spata,csv-yaml,['scala3'],https://github.com/sovt/spata,https://github.com/sovt/spata,Apache-2.0,2020-05-29 22:01:35,2026-01-28 20:31:40,2026-01-28 19:46:58,486.0,3.0,8.0,3.0,32.0,,5.0,36.0,2025-07-23 18:03:30,4.0.0,,,15.0,"Functional, stream-based CSV processor for Scala.",5.0,12,True,3.0,,,,,,,sovt/spata,
